"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Polk","142",".29%","92.21%","12",".32%","7.79%","154",".29%"
"Pulaski","84",".17%","95.45%","4",".11%","4.55%","88",".17%"
"Putnam","151",".31%","94.97%","8",".21%","5.03%","159",".30%"
"Quitman","19",".04%","90.48%","2",".05%","9.52%","21",".04%"
"Rabun","49",".10%","85.96%","8",".21%","14.04%","57",".11%"
"Randolph","64",".13%","95.52%","3",".08%","4.48%","67",".13%"
"Richmond","1,707","3.47%","93.84%","112","3.00%","6.16%","1,819","3.44%"
"Rockdale","472",".96%","90.42%","50","1.34%","9.58%","522",".99%"
"Schley","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Screven","129",".26%","94.16%","8",".21%","5.84%","137",".26%"
"Seminole","55",".11%","83.33%","11",".29%","16.67%","66",".12%"
"Spalding","582","1.18%","89.81%","66","1.77%","10.19%","648","1.22%"
"Stephens","188",".38%","91.71%","17",".46%","8.29%","205",".39%"
"Stewart","28",".06%","93.33%","2",".05%","6.67%","30",".06%"
"Sumter","220",".45%","94.83%","12",".32%","5.17%","232",".44%"
"Talbot","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"Taliaferro","25",".05%","89.29%","3",".08%","10.71%","28",".05%"
"Tattnall","186",".38%","92.08%","16",".43%","7.92%","202",".38%"
"Taylor","90",".18%","90.91%","9",".24%","9.09%","99",".19%"
"Telfair","107",".22%","89.92%","12",".32%","10.08%","119",".22%"
"Terrell","74",".15%","97.37%","2",".05%","2.63%","76",".14%"
"Thomas","252",".51%","94.03%","16",".43%","5.97%","268",".51%"
"Tift","299",".61%","95.53%","14",".37%","4.47%","313",".59%"
"Toombs","324",".66%","92.57%","26",".70%","7.43%","350",".66%"
"Towns","51",".10%","83.61%","10",".27%","16.39%","61",".12%"
"Treutlen","66",".13%","94.29%","4",".11%","5.71%","70",".13%"
"Troup","651","1.32%","91.69%","59","1.58%","8.31%","710","1.34%"
"Turner","71",".14%","94.67%","4",".11%","5.33%","75",".14%"
"Twiggs","60",".12%","93.75%","4",".11%","6.25%","64",".12%"
"Union","82",".17%","84.54%","15",".40%","15.46%","97",".18%"
"Upson","178",".36%","89.45%","21",".56%","10.55%","199",".38%"
"Walker","421",".86%","91.52%","39","1.04%","8.48%","460",".87%"
"Walton","421",".86%","89.77%","48","1.28%","10.23%","469",".89%"
"Ware","301",".61%","94.06%","19",".51%","5.94%","320",".60%"
"Warren","42",".09%","93.33%","3",".08%","6.67%","45",".09%"
"Washington","137",".28%","89.54%","16",".43%","10.46%","153",".29%"
"Wayne","152",".31%","89.41%","18",".48%","10.59%","170",".32%"
"Webster","6",".01%","100.00%","","","","6",".01%"
