"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","325",".64%","94.20%","20",".55%","5.80%","345",".63%"
"Appling County","101",".20%","91.82%","9",".25%","8.18%","110",".20%"
"Atkinson County","49",".10%","96.08%","2",".06%","3.92%","51",".09%"
"Bacon County","73",".14%","96.05%","3",".08%","3.95%","76",".14%"
"Baker County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Baldwin County","341",".67%","94.46%","20",".55%","5.54%","361",".66%"
"Banks County","58",".11%","95.08%","3",".08%","4.92%","61",".11%"
"Barrow County","253",".50%","90.36%","27",".75%","9.64%","280",".51%"
"Bartow County","657","1.29%","88.66%","84","2.33%","11.34%","741","1.36%"
"Ben Hill County","248",".49%","94.66%","14",".39%","5.34%","262",".48%"
"Berrien County","89",".17%","93.68%","6",".17%","6.32%","95",".17%"
"Bibb County","1,064","2.09%","95.77%","47","1.30%","4.23%","1,111","2.04%"
"Bleckley County","63",".12%","90.00%","7",".19%","10.00%","70",".13%"
"Brantley County","62",".12%","91.18%","6",".17%","8.82%","68",".12%"
"Brooks County","71",".14%","95.95%","3",".08%","4.05%","74",".14%"
"Bryan County","101",".20%","97.12%","3",".08%","2.88%","104",".19%"
"Bulloch County","515","1.01%","91.80%","46","1.27%","8.20%","561","1.03%"
"Burke County","208",".41%","95.85%","9",".25%","4.15%","217",".40%"
"Butts County","152",".30%","96.20%","6",".17%","3.80%","158",".29%"
"Calhoun County","35",".07%","87.50%","5",".14%","12.50%","40",".07%"
"Camden County","174",".34%","93.55%","12",".33%","6.45%","186",".34%"
"Candler County","118",".23%","90.77%","12",".33%","9.23%","130",".24%"
"Carroll County","561","1.10%","92.12%","48","1.33%","7.88%","609","1.12%"
"Catoosa County","331",".65%","90.68%","34",".94%","9.32%","365",".67%"
"Charlton County","60",".12%","93.75%","4",".11%","6.25%","64",".12%"
"Chatham County","2,189","4.29%","96.43%","81","2.24%","3.57%","2,270","4.16%"
"Chattahoochee County","34",".07%","97.14%","1",".03%","2.86%","35",".06%"
"Chattooga County","244",".48%","86.22%","39","1.08%","13.78%","283",".52%"
"Cherokee County","544","1.07%","92.36%","45","1.25%","7.64%","589","1.08%"
"Clarke County","452",".89%","95.36%","22",".61%","4.64%","474",".87%"
"Clay County","37",".07%","94.87%","2",".06%","5.13%","39",".07%"
"Clayton County","1,513","2.97%","93.68%","102","2.82%","6.32%","1,615","2.96%"
"Clinch County","48",".09%","96.00%","2",".06%","4.00%","50",".09%"
"Cobb County","2,611","5.12%","91.39%","246","6.81%","8.61%","2,857","5.23%"
"Coffee County","250",".49%","93.28%","18",".50%","6.72%","268",".49%"
"Colquitt County","251",".49%","93.31%","18",".50%","6.69%","269",".49%"
"Columbia County","381",".75%","92.25%","32",".89%","7.75%","413",".76%"
"Cook County","120",".24%","95.24%","6",".17%","4.76%","126",".23%"
