"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Wheeler County","27",".05%","100.00%","","","","27",".05%"
"White County","82",".16%","88.17%","11",".31%","11.83%","93",".17%"
"Whitfield County","506","1.02%","88.93%","63","1.78%","11.07%","569","1.07%"
"Wilcox County","42",".08%","91.30%","4",".11%","8.70%","46",".09%"
"Wilkes County","74",".15%","96.10%","3",".08%","3.90%","77",".14%"
"Wilkinson County","42",".08%","95.45%","2",".06%","4.55%","44",".08%"
"Worth County","111",".22%","94.87%","6",".17%","5.13%","117",".22%"
"Total Rported","49,791","100%","93.36%","3,541","100%","6.64%","53,332","100%"
