"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","6",".01%","75.00%","2",".06%","25.00%","8",".02%"
"Wheeler County","16",".03%","100.00%","","","","16",".03%"
"White County","85",".18%","93.41%","6",".18%","6.59%","91",".18%"
"Whitfield County","668","1.45%","87.32%","97","2.95%","12.68%","765","1.55%"
"Wilcox County","50",".11%","94.34%","3",".09%","5.66%","53",".11%"
"Wilkes County","58",".13%","95.08%","3",".09%","4.92%","61",".12%"
"Wilkinson County","38",".08%","97.44%","1",".03%","2.56%","39",".08%"
"Worth County","125",".27%","91.91%","11",".33%","8.09%","136",".28%"
"Total Rported","46,080","100%","93.33%","3,291","100%","6.67%","49,371","100%"
