"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Irwin","63",".12%","96.92%","2",".06%","3.08%","65",".12%"
"Jackson","202",".40%","91.40%","19",".55%","8.60%","221",".41%"
"Jasper","63",".12%","94.03%","4",".11%","5.97%","67",".12%"
"Jeff Davis","76",".15%","95.00%","4",".11%","5.00%","80",".15%"
"Jefferson","120",".24%","95.24%","6",".17%","4.76%","126",".23%"
"Jenkins","72",".14%","94.74%","4",".11%","5.26%","76",".14%"
"Johnson","60",".12%","93.75%","4",".11%","6.25%","64",".12%"
"Jones","146",".29%","91.82%","13",".37%","8.18%","159",".29%"
"Lamar","85",".17%","94.44%","5",".14%","5.56%","90",".17%"
"Lanier","39",".08%","88.64%","5",".14%","11.36%","44",".08%"
"Laurens","342",".67%","95.26%","17",".49%","4.74%","359",".66%"
"Lee","77",".15%","96.25%","3",".09%","3.75%","80",".15%"
"Liberty","277",".55%","94.54%","16",".46%","5.46%","293",".54%"
"Lincoln","35",".07%","100.00%","","","","35",".06%"
"Long","88",".17%","93.62%","6",".17%","6.38%","94",".17%"
"Lowndes","645","1.27%","94.99%","34",".98%","5.01%","679","1.25%"
"Lumpkin","119",".23%","90.15%","13",".37%","9.85%","132",".24%"
"Macon","82",".16%","94.25%","5",".14%","5.75%","87",".16%"
"Madison","128",".25%","94.81%","7",".20%","5.19%","135",".25%"
"Marion","52",".10%","94.55%","3",".09%","5.45%","55",".10%"
"Mcduffie","201",".40%","97.10%","6",".17%","2.90%","207",".38%"
"Mcintosh","77",".15%","98.72%","1",".03%","1.28%","78",".14%"
"Meriwether","204",".40%","94.88%","11",".32%","5.12%","215",".40%"
"Miller","37",".07%","100.00%","","","","37",".07%"
"Mitchell","188",".37%","92.16%","16",".46%","7.84%","204",".38%"
"Monroe","188",".37%","93.07%","14",".40%","6.93%","202",".37%"
"Montgomery","54",".11%","96.43%","2",".06%","3.57%","56",".10%"
"Morgan","102",".20%","91.89%","9",".26%","8.11%","111",".20%"
"Murray","252",".50%","93.33%","18",".52%","6.67%","270",".50%"
"Muscogee","1,945","3.83%","93.96%","125","3.59%","6.04%","2,070","3.82%"
"Newton","598","1.18%","91.58%","55","1.58%","8.42%","653","1.20%"
"Oconee","55",".11%","98.21%","1",".03%","1.79%","56",".10%"
"Oglethorpe","56",".11%","96.55%","2",".06%","3.45%","58",".11%"
"Paulding","230",".45%","92.74%","18",".52%","7.26%","248",".46%"
"Peach","94",".19%","98.95%","1",".03%","1.05%","95",".18%"
"Pickens","93",".18%","92.08%","8",".23%","7.92%","101",".19%"
"Pierce","57",".11%","98.28%","1",".03%","1.72%","58",".11%"
"Pike","48",".09%","87.27%","7",".20%","12.73%","55",".10%"
