"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Terrell County","46","0.09%","93.88%","3","0.07%","6.12%","49","0.09%"
"Thomas County","222","0.45%","95.69%","10","0.25%","4.31%","232","0.44%"
"Tift County","317","0.65%","95.48%","15","0.37%","4.52%","332","0.63%"
"Toombs County","289","0.59%","94.44%","17","0.42%","5.56%","306","0.58%"
"Towns County","60","0.12%","83.33%","12","0.3%","16.67%","72","0.14%"
"Treutlen County","62","0.13%","92.54%","5","0.12%","7.46%","67","0.13%"
"Troup County","585","1.2%","91.98%","51","1.27%","8.02%","636","1.2%"
"Turner County","53","0.11%","94.64%","3","0.07%","5.36%","56","0.11%"
"Twiggs County","39","0.08%","92.86%","3","0.07%","7.14%","42","0.08%"
"Union County","75","0.15%","85.23%","13","0.32%","14.77%","88","0.17%"
"Upson County","202","0.41%","92.24%","17","0.42%","7.76%","219","0.41%"
"Walker County","394","0.81%","90.16%","43","1.07%","9.84%","437","0.83%"
"Walton County","657","1.34%","90.37%","70","1.75%","9.63%","727","1.37%"
"Ware County","267","0.55%","89.0%","33","0.82%","11.0%","300","0.57%"
"Warren County","28","0.06%","96.55%","1","0.02%","3.45%","29","0.05%"
"Washington County","180","0.37%","94.74%","10","0.25%","5.26%","190","0.36%"
"Wayne County","181","0.37%","90.05%","20","0.5%","9.95%","201","0.38%"
"Webster County","16","0.03%","94.12%","1","0.02%","5.88%","17","0.03%"
"Wheeler County","24","0.05%","82.76%","5","0.12%","17.24%","29","0.05%"
"White County","102","0.21%","93.58%","7","0.17%","6.42%","109","0.21%"
"Whitfield County","788","1.61%","87.36%","114","2.84%","12.64%","902","1.71%"
"Wilcox County","66","0.14%","94.29%","4","0.1%","5.71%","70","0.13%"
"Wilkes County","67","0.14%","97.1%","2","0.05%","2.9%","69","0.13%"
"Wilkinson County","39","0.08%","97.5%","1","0.02%","2.5%","40","0.08%"
"Worth County","139","0.28%","93.29%","10","0.25%","6.71%","149","0.28%"
"Total Reported","48,883","100.00%","92.42%","4,008","100.00%","7.58%","52,891","100.00%"
