"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","4",".01%","100.00%","","","","4",".01%"
"Wheeler County","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"White County","100",".20%","86.21%","16",".42%","13.79%","116",".21%"
"Whitfield County","728","1.43%","87.71%","102","2.66%","12.29%","830","1.52%"
"Wilcox County","45",".09%","97.83%","1",".03%","2.17%","46",".08%"
"Wilkes County","73",".14%","92.41%","6",".16%","7.59%","79",".14%"
"Wilkinson County","47",".09%","97.92%","1",".03%","2.08%","48",".09%"
"Worth County","130",".26%","90.91%","13",".34%","9.09%","143",".26%"
"Troup County Ci","1",".01%","100.00%","","","","1",".01%"
"Total Rported","50,734","100%","92.97%","3,835","100%","7.03%","54,569","100%"
