"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Pike County","42",".08%","91.30%","4",".10%","8.70%","46",".08%"
"Polk County","186",".37%","92.08%","16",".41%","7.92%","202",".37%"
"Pulaski County","51",".10%","94.44%","3",".08%","5.56%","54",".10%"
"Putnam County","160",".31%","91.43%","15",".38%","8.57%","175",".32%"
"Quitman County","12",".02%","100.00%","","","","12",".02%"
"Rabun County","64",".13%","88.89%","8",".20%","11.11%","72",".13%"
"Randolph County","61",".12%","96.83%","2",".05%","3.17%","63",".11%"
"Richmond County","1,925","3.78%","93.67%","130","3.31%","6.33%","2,055","3.75%"
"Rockdale County","507","1.00%","92.69%","40","1.02%","7.31%","547","1.00%"
"Schley County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"Screven County","124",".24%","97.64%","3",".08%","2.36%","127",".23%"
"Seminole County","77",".15%","88.51%","10",".25%","11.49%","87",".16%"
"Spalding County","507","1.00%","91.35%","48","1.22%","8.65%","555","1.01%"
"Stephens County","177",".35%","86.76%","27",".69%","13.24%","204",".37%"
"Stewart County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"Sumter County","212",".42%","95.50%","10",".25%","4.50%","222",".40%"
"Talbot County","32",".06%","94.12%","2",".05%","5.88%","34",".06%"
"Taliaferro County","18",".04%","94.74%","1",".03%","5.26%","19",".03%"
"Tattnall County","192",".38%","91.43%","18",".46%","8.57%","210",".38%"
"Taylor County","62",".12%","93.94%","4",".10%","6.06%","66",".12%"
"Telfair County","106",".21%","95.50%","5",".13%","4.50%","111",".20%"
"Terrell County","89",".17%","94.68%","5",".13%","5.32%","94",".17%"
"Thomas County","205",".40%","96.24%","8",".20%","3.76%","213",".39%"
"Tift County","322",".63%","94.43%","19",".48%","5.57%","341",".62%"
"Toombs County","325",".64%","89.04%","40","1.02%","10.96%","365",".67%"
"Towns County","56",".11%","76.71%","17",".43%","23.29%","73",".13%"
"Treutlen County","73",".14%","93.59%","5",".13%","6.41%","78",".14%"
"Troup County","678","1.33%","92.62%","54","1.37%","7.38%","732","1.33%"
"Turner County","71",".14%","97.26%","2",".05%","2.74%","73",".13%"
"Twiggs County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"Union County","97",".19%","82.91%","20",".51%","17.09%","117",".21%"
"Upson County","173",".34%","95.05%","9",".23%","4.95%","182",".33%"
"Walker County","429",".84%","91.67%","39",".99%","8.33%","468",".85%"
"Walton County","589","1.16%","89.51%","69","1.75%","10.49%","658","1.20%"
"Ware County","311",".61%","93.96%","20",".51%","6.04%","331",".60%"
"Warren County","38",".07%","92.68%","3",".08%","7.32%","41",".07%"
"Washington County","206",".40%","90.35%","22",".56%","9.65%","228",".42%"
"Wayne County","175",".34%","92.11%","15",".38%","7.89%","190",".35%"
