"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Crawford","20",".04%","86.96%","3",".08%","13.04%","23",".04%"
"Crisp","275",".56%","93.86%","18",".48%","6.14%","293",".55%"
"Dade","132",".27%","95.65%","6",".16%","4.35%","138",".26%"
"Dawson","108",".22%","93.10%","8",".21%","6.90%","116",".22%"
"Decatur","355",".72%","91.03%","35",".94%","8.97%","390",".73%"
"Dekalb","2,881","5.82%","94.77%","159","4.25%","5.23%","3,040","5.71%"
"Dodge","162",".33%","92.57%","13",".35%","7.43%","175",".33%"
"Dooly","108",".22%","94.74%","6",".16%","5.26%","114",".21%"
"Dougherty","937","1.89%","93.79%","62","1.66%","6.21%","999","1.88%"
"Douglas","1,106","2.23%","90.73%","113","3.02%","9.27%","1,219","2.29%"
"Early","75",".15%","96.15%","3",".08%","3.85%","78",".15%"
"Echols","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Effingham","160",".32%","95.81%","7",".19%","4.19%","167",".31%"
"Elbert","154",".31%","96.25%","6",".16%","3.75%","160",".30%"
"Emanuel","170",".34%","96.59%","6",".16%","3.41%","176",".33%"
"Evans","94",".19%","96.91%","3",".08%","3.09%","97",".18%"
"Fannin","103",".21%","91.15%","10",".27%","8.85%","113",".21%"
"Fayette","367",".74%","89.73%","42","1.12%","10.27%","409",".77%"
"Floyd","860","1.74%","89.21%","104","2.78%","10.79%","964","1.81%"
"Forsyth","278",".56%","85.28%","48","1.28%","14.72%","326",".61%"
"Franklin","145",".29%","94.77%","8",".21%","5.23%","153",".29%"
"Fulton","4,460","9.01%","96.43%","165","4.41%","3.57%","4,625","8.69%"
"Gilmer","129",".26%","92.14%","11",".29%","7.86%","140",".26%"
"Glascock","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"Glynn","402",".81%","93.93%","26",".69%","6.07%","428",".80%"
"Gordon","306",".62%","90.53%","32",".86%","9.47%","338",".63%"
"Grady","236",".48%","95.55%","11",".29%","4.45%","247",".46%"
"Greene","157",".32%","94.58%","9",".24%","5.42%","166",".31%"
"Gwinnett","2,011","4.06%","92.29%","168","4.49%","7.71%","2,179","4.09%"
"Habersham","121",".24%","93.80%","8",".21%","6.20%","129",".24%"
"Hall","769","1.55%","92.54%","62","1.66%","7.46%","831","1.56%"
"Hancock","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Haralson","90",".18%","96.77%","3",".08%","3.23%","93",".17%"
"Harris","110",".22%","97.35%","3",".08%","2.65%","113",".21%"
"Hart","130",".26%","93.53%","9",".24%","6.47%","139",".26%"
"Heard","58",".12%","87.88%","8",".21%","12.12%","66",".12%"
"Henry","539","1.09%","89.83%","61","1.63%","10.17%","600","1.13%"
"Houston","637","1.29%","93.13%","47","1.26%","6.87%","684","1.28%"
