"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Houston County","720","1.59%","94.12%","45","1.34%","5.88%","765","1.57%"
"Irwin County","64",".14%","98.46%","1",".03%","1.54%","65",".13%"
"Jackson County","240",".53%","93.02%","18",".53%","6.98%","258",".53%"
"Jasper County","59",".13%","95.16%","3",".09%","4.84%","62",".13%"
"Jeff Davis County","82",".18%","93.18%","6",".18%","6.82%","88",".18%"
"Jefferson County","126",".28%","91.97%","11",".33%","8.03%","137",".28%"
"Jenkins County","59",".13%","93.65%","4",".12%","6.35%","63",".13%"
"Johnson County","40",".09%","97.56%","1",".03%","2.44%","41",".08%"
"Jones County","189",".42%","90.43%","20",".59%","9.57%","209",".43%"
"Lamar County","85",".19%","90.43%","9",".27%","9.57%","94",".19%"
"Lanier County","47",".10%","87.04%","7",".21%","12.96%","54",".11%"
"Laurens County","259",".57%","89.93%","29",".86%","10.07%","288",".59%"
"Lee County","85",".19%","95.51%","4",".12%","4.49%","89",".18%"
"Liberty County","176",".39%","92.15%","15",".45%","7.85%","191",".39%"
"Lincoln County","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"Long County","62",".14%","93.94%","4",".12%","6.06%","66",".14%"
"Lowndes County","436",".96%","95.61%","20",".59%","4.39%","456",".93%"
"Lumpkin County","81",".18%","91.01%","8",".24%","8.99%","89",".18%"
"Macon County","38",".08%","95.00%","2",".06%","5.00%","40",".08%"
"Madison County","144",".32%","91.14%","14",".42%","8.86%","158",".32%"
"Marion County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"Mcduffie County","159",".35%","97.55%","4",".12%","2.45%","163",".33%"
"Mcintosh County","59",".13%","92.19%","5",".15%","7.81%","64",".13%"
"Meriwether County","135",".30%","96.43%","5",".15%","3.57%","140",".29%"
"Miller County","41",".09%","95.35%","2",".06%","4.65%","43",".09%"
"Mitchell County","158",".35%","91.86%","14",".42%","8.14%","172",".35%"
"Monroe County","194",".43%","88.18%","26",".77%","11.82%","220",".45%"
"Montgomery County","28",".06%","87.50%","4",".12%","12.50%","32",".07%"
"Morgan County","145",".32%","92.36%","12",".36%","7.64%","157",".32%"
"Murray County","274",".60%","88.39%","36","1.07%","11.61%","310",".64%"
"Muscogee County","998","2.20%","94.60%","57","1.69%","5.40%","1,055","2.16%"
"Newton County","651","1.43%","91.95%","57","1.69%","8.05%","708","1.45%"
"Oconee County","51",".11%","94.44%","3",".09%","5.56%","54",".11%"
"Oglethorpe County","63",".14%","94.03%","4",".12%","5.97%","67",".14%"
"Paulding County","221",".49%","91.70%","20",".59%","8.30%","241",".49%"
"Peach County","65",".14%","95.59%","3",".09%","4.41%","68",".14%"
"Pickens County","101",".22%","87.07%","15",".45%","12.93%","116",".24%"
"Pierce County","100",".22%","96.15%","4",".12%","3.85%","104",".21%"
