"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Chattooga County","167","0.34%","88.83%","21","0.53%","11.17%","188","0.36%"
"Cherokee County","655","1.34%","93.04%","49","1.23%","6.96%","704","1.33%"
"Clarke County","513","1.05%","93.27%","37","0.93%","6.73%","550","1.04%"
"Clay County","12","0.02%","92.31%","1","0.03%","7.69%","13","0.02%"
"Clayton County","1,160","2.38%","92.65%","92","2.3%","7.35%","1,252","2.37%"
"Clinch County","44","0.09%","93.62%","3","0.08%","6.38%","47","0.09%"
"Cobb County","2,142","4.39%","92.93%","163","4.08%","7.07%","2,305","4.36%"
"Coffee County","306","0.63%","91.89%","27","0.68%","8.11%","333","0.63%"
"Colquitt County","203","0.42%","96.21%","8","0.2%","3.79%","211","0.4%"
"Columbia County","501","1.03%","88.83%","63","1.58%","11.17%","564","1.07%"
"Cook County","131","0.27%","90.97%","13","0.33%","9.03%","144","0.27%"
"Coweta County","722","1.48%","94.01%","46","1.15%","5.99%","768","1.45%"
"Crawford County","31","0.06%","93.94%","2","0.05%","6.06%","33","0.06%"
"Crisp County","369","0.76%","90.66%","38","0.95%","9.34%","407","0.77%"
"Dade County","98","0.2%","89.91%","11","0.28%","10.09%","109","0.21%"
"Dawson County","134","0.27%","83.75%","26","0.65%","16.25%","160","0.3%"
"Decatur County","313","0.64%","88.92%","39","0.98%","11.08%","352","0.67%"
"Dekalb County","2,671","5.47%","95.12%","137","3.43%","4.88%","2,808","5.32%"
"Dodge County","124","0.25%","89.86%","14","0.35%","10.14%","138","0.26%"
"Dooly County","131","0.27%","89.73%","15","0.38%","10.27%","146","0.28%"
"Dougherty County","724","1.48%","96.28%","28","0.7%","3.72%","752","1.42%"
"Douglas County","853","1.75%","90.94%","85","2.13%","9.06%","938","1.78%"
"Early County","73","0.15%","97.33%","2","0.05%","2.67%","75","0.14%"
"Echols County","13","0.03%","92.86%","1","0.03%","7.14%","14","0.03%"
"Effingham County","344","0.7%","89.35%","41","1.03%","10.65%","385","0.73%"
"Elbert County","149","0.31%","91.41%","14","0.35%","8.59%","163","0.31%"
"Emanuel County","220","0.45%","92.83%","17","0.43%","7.17%","237","0.45%"
