"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","99",".20%","93.40%","7",".19%","6.60%","106",".20%"
"Atkinson","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"Bacon","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"Baker","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin","348",".70%","93.55%","24",".66%","6.45%","372",".70%"
"Banks","57",".11%","90.48%","6",".16%","9.52%","63",".12%"
"Barrow","255",".51%","93.41%","18",".49%","6.59%","273",".51%"
"Bartow","563","1.13%","89.94%","63","1.72%","10.06%","626","1.17%"
"Ben Hill","268",".54%","93.71%","18",".49%","6.29%","286",".53%"
"Berrien","83",".17%","96.51%","3",".08%","3.49%","86",".16%"
"Bibb","1,047","2.10%","94.67%","59","1.61%","5.33%","1,106","2.07%"
"Bleckley","85",".17%","85.86%","14",".38%","14.14%","99",".19%"
"Brantley","63",".13%","94.03%","4",".11%","5.97%","67",".13%"
"Brooks","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"Bryan","99",".20%","95.19%","5",".14%","4.81%","104",".19%"
"Bulloch","474",".95%","92.94%","36",".98%","7.06%","510",".95%"
"Burke","207",".42%","93.67%","14",".38%","6.33%","221",".41%"
"Butts","159",".32%","94.64%","9",".25%","5.36%","168",".31%"
"Calhoun","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Camden","148",".30%","94.87%","8",".22%","5.13%","156",".29%"
"Candler","85",".17%","89.47%","10",".27%","10.53%","95",".18%"
"Carroll","564","1.13%","90.24%","61","1.67%","9.76%","625","1.17%"
"Catoosa","301",".60%","89.85%","34",".93%","10.15%","335",".63%"
"Charlton","62",".12%","95.38%","3",".08%","4.62%","65",".12%"
"Chatham","2,475","4.96%","95.23%","124","3.39%","4.77%","2,599","4.86%"
"Chattahoochee","32",".06%","94.12%","2",".05%","5.88%","34",".06%"
"Chattooga","243",".49%","89.67%","28",".77%","10.33%","271",".51%"
"Cherokee","572","1.15%","91.08%","56","1.53%","8.92%","628","1.17%"
"Clarke","389",".78%","94.19%","24",".66%","5.81%","413",".77%"
"Clay","29",".06%","93.55%","2",".05%","6.45%","31",".06%"
"Clayton","1,426","2.86%","92.42%","117","3.20%","7.58%","1,543","2.88%"
"Clinch","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"Cobb","2,906","5.83%","91.35%","275","7.52%","8.65%","3,181","5.94%"
"Coffee","247",".50%","93.56%","17",".47%","6.44%","264",".49%"
"Colquitt","328",".66%","93.98%","21",".57%","6.02%","349",".65%"
"Columbia","301",".60%","92.90%","23",".63%","7.10%","324",".61%"
"Cook","136",".27%","95.10%","7",".19%","4.90%","143",".27%"
"Coweta","507","1.02%","92.86%","39","1.07%","7.14%","546","1.02%"
