"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Evans County","83","0.17%","92.22%","7","0.17%","7.78%","90","0.17%"
"Fannin County","106","0.22%","85.48%","18","0.44%","14.52%","124","0.23%"
"Fayette County","368","0.75%","90.2%","40","0.98%","9.8%","408","0.77%"
"Floyd County","909","1.85%","90.45%","96","2.36%","9.55%","1,005","1.89%"
"Forsyth County","395","0.8%","87.58%","56","1.38%","12.42%","451","0.85%"
"Franklin County","175","0.36%","92.11%","15","0.37%","7.89%","190","0.36%"
"Fulton County","4,765","9.68%","94.96%","253","6.23%","5.04%","5,018","9.42%"
"Gilmer County","119","0.24%","91.54%","11","0.27%","8.46%","130","0.24%"
"Glascock County","13","0.03%","100.0%","","","","13","0.02%"
"Glynn County","551","1.12%","94.67%","31","0.76%","5.33%","582","1.09%"
"Gordon County","340","0.69%","88.31%","45","1.11%","11.69%","385","0.72%"
"Grady County","209","0.42%","89.7%","24","0.59%","10.3%","233","0.44%"
"Greene County","122","0.25%","88.41%","16","0.39%","11.59%","138","0.26%"
"Gwinnett County","2,427","4.93%","93.2%","177","4.36%","6.8%","2,604","4.89%"
"Habersham County","130","0.26%","86.67%","20","0.49%","13.33%","150","0.28%"
"Hall County","772","1.57%","90.61%","80","1.97%","9.39%","852","1.6%"
"Hancock County","47","0.1%","94.0%","3","0.07%","6.0%","50","0.09%"
"Haralson County","170","0.35%","90.43%","18","0.44%","9.57%","188","0.35%"
"Harris County","98","0.2%","91.59%","9","0.22%","8.41%","107","0.2%"
"Hart County","163","0.33%","93.14%","12","0.3%","6.86%","175","0.33%"
"Heard County","52","0.11%","91.23%","5","0.12%","8.77%","57","0.11%"
"Henry County","694","1.41%","90.6%","72","1.77%","9.4%","766","1.44%"
"Houston County","971","1.97%","91.86%","86","2.12%","8.14%","1,057","1.98%"
"Irwin County","71","0.14%","91.03%","7","0.17%","8.97%","78","0.15%"
"Jackson County","276","0.56%","91.09%","27","0.66%","8.91%","303","0.57%"
"Jasper County","57","0.12%","95.0%","3","0.07%","5.0%","60","0.11%"
"Jeff Davis County","93","0.19%","91.18%","9","0.22%","8.82%","102","0.19%"
