"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","7",".01%","100.00%","","","","7",".01%"
"Wheeler County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"White County","111",".22%","86.72%","17",".47%","13.28%","128",".24%"
"Whitfield County","575","1.16%","89.15%","70","1.95%","10.85%","645","1.22%"
"Wilcox County","40",".08%","95.24%","2",".06%","4.76%","42",".08%"
"Wilkes County","74",".15%","100.00%","","","","74",".14%"
"Wilkinson County","49",".10%","96.08%","2",".06%","3.92%","51",".10%"
"Worth County","130",".26%","94.20%","8",".22%","5.80%","138",".26%"
"Troup County Ci","1",".01%","100.00%","","","","1",".01%"
"Total Rported","49,379","100%","93.22%","3,593","100%","6.78%","52,972","100%"
