"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","546","1.23%","94.46%","32","1.00%","5.54%","578","1.21%"
"Crawford County","21",".05%","100.00%","","","","21",".04%"
"Crisp County","342",".77%","93.96%","22",".69%","6.04%","364",".76%"
"Dade County","80",".18%","89.89%","9",".28%","10.11%","89",".19%"
"Dawson County","101",".23%","90.18%","11",".34%","9.82%","112",".24%"
"Decatur County","234",".53%","93.60%","16",".50%","6.40%","250",".52%"
"Dekalb County","2,370","5.33%","95.45%","113","3.53%","4.55%","2,483","5.21%"
"Dodge County","105",".24%","88.98%","13",".41%","11.02%","118",".25%"
"Dooly County","132",".30%","91.03%","13",".41%","8.97%","145",".30%"
"Dougherty County","732","1.65%","95.19%","37","1.16%","4.81%","769","1.61%"
"Douglas County","886","1.99%","92.20%","75","2.35%","7.80%","961","2.02%"
"Early County","80",".18%","96.39%","3",".09%","3.61%","83",".17%"
"Echols County","13",".03%","100.00%","","","","13",".03%"
"Effingham County","212",".48%","90.60%","22",".69%","9.40%","234",".49%"
"Elbert County","124",".28%","93.94%","8",".25%","6.06%","132",".28%"
"Emanuel County","172",".39%","93.48%","12",".38%","6.52%","184",".39%"
"Evans County","77",".17%","92.77%","6",".19%","7.23%","83",".17%"
"Fannin County","98",".22%","88.29%","13",".41%","11.71%","111",".23%"
"Fayette County","320",".72%","93.57%","22",".69%","6.43%","342",".72%"
"Floyd County","850","1.91%","89.76%","97","3.03%","10.24%","947","1.99%"
"Forsyth County","363",".82%","90.52%","38","1.19%","9.48%","401",".84%"
"Franklin County","143",".32%","89.38%","17",".53%","10.63%","160",".34%"
"Fulton County","4,144","9.32%","96.28%","160","5.00%","3.72%","4,304","9.03%"
"Gilmer County","96",".22%","93.20%","7",".22%","6.80%","103",".22%"
"Glascock County","13",".03%","100.00%","","","","13",".03%"
"Glynn County","468","1.05%","94.35%","28",".88%","5.65%","496","1.04%"
"Gordon County","377",".85%","87.47%","54","1.69%","12.53%","431",".90%"
"Grady County","164",".37%","94.80%","9",".28%","5.20%","173",".36%"
"Greene County","106",".24%","94.64%","6",".19%","5.36%","112",".24%"
"Gwinnett County","2,249","5.06%","93.98%","144","4.50%","6.02%","2,393","5.02%"
"Habersham County","108",".24%","87.80%","15",".47%","12.20%","123",".26%"
"Hall County","652","1.47%","92.75%","51","1.59%","7.25%","703","1.48%"
"Hancock County","41",".09%","95.35%","2",".06%","4.65%","43",".09%"
"Haralson County","122",".27%","91.04%","12",".38%","8.96%","134",".28%"
"Harris County","94",".21%","94.95%","5",".16%","5.05%","99",".21%"
"Hart County","160",".36%","90.91%","16",".50%","9.09%","176",".37%"
"Heard County","45",".10%","95.74%","2",".06%","4.26%","47",".10%"
"Henry County","615","1.38%","91.65%","56","1.75%","8.35%","671","1.41%"
