"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Houston County","694","1.38%","93.15%","51","1.36%","6.85%","745","1.38%"
"Irwin County","83",".16%","98.81%","1",".03%","1.19%","84",".16%"
"Jackson County","242",".48%","93.80%","16",".43%","6.20%","258",".48%"
"Jasper County","57",".11%","89.06%","7",".19%","10.94%","64",".12%"
"Jeff Davis County","91",".18%","94.79%","5",".13%","5.21%","96",".18%"
"Jefferson County","163",".32%","98.19%","3",".08%","1.81%","166",".31%"
"Jenkins County","93",".18%","94.90%","5",".13%","5.10%","98",".18%"
"Johnson County","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"Jones County","194",".39%","92.38%","16",".43%","7.62%","210",".39%"
"Lamar County","76",".15%","93.83%","5",".13%","6.17%","81",".15%"
"Lanier County","48",".10%","100.00%","","","","48",".09%"
"Laurens County","257",".51%","93.45%","18",".48%","6.55%","275",".51%"
"Lee County","67",".13%","90.54%","7",".19%","9.46%","74",".14%"
"Liberty County","247",".49%","93.92%","16",".43%","6.08%","263",".49%"
"Lincoln County","28",".06%","100.00%","","","","28",".05%"
"Long County","67",".13%","91.78%","6",".16%","8.22%","73",".13%"
"Lowndes County","521","1.03%","96.30%","20",".53%","3.70%","541","1.00%"
"Lumpkin County","86",".17%","90.53%","9",".24%","9.47%","95",".18%"
"Macon County","65",".13%","100.00%","","","","65",".12%"
"Madison County","126",".25%","88.73%","16",".43%","11.27%","142",".26%"
"Marion County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Mcduffie County","199",".40%","96.14%","8",".21%","3.86%","207",".38%"
"Mcintosh County","55",".11%","98.21%","1",".03%","1.79%","56",".10%"
"Meriwether County","190",".38%","90.05%","21",".56%","9.95%","211",".39%"
"Miller County","30",".06%","100.00%","","","","30",".06%"
"Mitchell County","154",".31%","91.67%","14",".37%","8.33%","168",".31%"
"Monroe County","137",".27%","88.96%","17",".45%","11.04%","154",".28%"
"Montgomery County","30",".06%","85.71%","5",".13%","14.29%","35",".06%"
"Morgan County","138",".27%","91.39%","13",".35%","8.61%","151",".28%"
"Murray County","176",".35%","93.62%","12",".32%","6.38%","188",".35%"
"Muscogee County","1,178","2.34%","94.69%","66","1.76%","5.31%","1,244","2.30%"
"Newton County","685","1.36%","90.73%","70","1.87%","9.27%","755","1.40%"
"Oconee County","53",".11%","94.64%","3",".08%","5.36%","56",".10%"
"Oglethorpe County","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"Paulding County","239",".47%","92.64%","19",".51%","7.36%","258",".48%"
"Peach County","88",".17%","93.62%","6",".16%","6.38%","94",".17%"
"Pickens County","99",".20%","88.39%","13",".35%","11.61%","112",".21%"
"Pierce County","94",".19%","94.95%","5",".13%","5.05%","99",".18%"
