"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Crawford","21",".04%","87.50%","3",".08%","12.50%","24",".04%"
"Crisp","284",".57%","91.61%","26",".69%","8.39%","310",".58%"
"Dade","128",".26%","96.24%","5",".13%","3.76%","133",".25%"
"Dawson","114",".23%","91.20%","11",".29%","8.80%","125",".23%"
"Decatur","351",".71%","92.86%","27",".72%","7.14%","378",".71%"
"Dekalb","2,858","5.77%","94.54%","165","4.38%","5.46%","3,023","5.67%"
"Dodge","152",".31%","91.57%","14",".37%","8.43%","166",".31%"
"Dooly","101",".20%","93.52%","7",".19%","6.48%","108",".20%"
"Dougherty","958","1.93%","94.38%","57","1.51%","5.62%","1,015","1.90%"
"Douglas","1,138","2.30%","90.10%","125","3.32%","9.90%","1,263","2.37%"
"Early","87",".18%","96.67%","3",".08%","3.33%","90",".17%"
"Echols","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Effingham","162",".33%","93.64%","11",".29%","6.36%","173",".32%"
"Elbert","155",".31%","96.88%","5",".13%","3.13%","160",".30%"
"Emanuel","171",".34%","96.61%","6",".16%","3.39%","177",".33%"
"Evans","94",".19%","94.95%","5",".13%","5.05%","99",".19%"
"Fannin","98",".20%","92.45%","8",".21%","7.55%","106",".20%"
"Fayette","365",".74%","90.35%","39","1.04%","9.65%","404",".76%"
"Floyd","822","1.66%","89.64%","95","2.52%","10.36%","917","1.72%"
"Forsyth","280",".56%","88.05%","38","1.01%","11.95%","318",".60%"
"Franklin","143",".29%","92.86%","11",".29%","7.14%","154",".29%"
"Fulton","4,506","9.09%","96.30%","173","4.59%","3.70%","4,679","8.77%"
"Gilmer","127",".26%","92.70%","10",".27%","7.30%","137",".26%"
"Glascock","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Glynn","405",".82%","94.85%","22",".58%","5.15%","427",".80%"
"Gordon","305",".62%","91.04%","30",".80%","8.96%","335",".63%"
"Grady","220",".44%","96.07%","9",".24%","3.93%","229",".43%"
"Greene","160",".32%","94.67%","9",".24%","5.33%","169",".32%"
"Gwinnett","2,061","4.16%","92.05%","178","4.72%","7.95%","2,239","4.20%"
"Habersham","122",".25%","92.42%","10",".27%","7.58%","132",".25%"
"Hall","721","1.45%","92.32%","60","1.59%","7.68%","781","1.46%"
"Hancock","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Haralson","97",".20%","96.04%","4",".11%","3.96%","101",".19%"
"Harris","113",".23%","94.17%","7",".19%","5.83%","120",".22%"
"Hart","116",".23%","95.87%","5",".13%","4.13%","121",".23%"
"Heard","67",".14%","95.71%","3",".08%","4.29%","70",".13%"
"Henry","549","1.11%","89.85%","62","1.65%","10.15%","611","1.15%"
"Houston","608","1.23%","93.97%","39","1.04%","6.03%","647","1.21%"
