"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Wheeler County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"White County","103",".21%","85.83%","17",".47%","14.17%","120",".22%"
"Whitfield County","591","1.19%","89.95%","66","1.82%","10.05%","657","1.23%"
"Wilcox County","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"Wilkes County","76",".15%","98.70%","1",".03%","1.30%","77",".14%"
"Wilkinson County","50",".10%","96.15%","2",".06%","3.85%","52",".10%"
"Worth County","134",".27%","93.71%","9",".25%","6.29%","143",".27%"
"Total Rported","49,846","100%","93.22%","3,625","100%","6.78%","53,471","100%"
