"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Irwin","65",".13%","94.20%","4",".11%","5.80%","69",".13%"
"Jackson","212",".43%","92.98%","16",".43%","7.02%","228",".43%"
"Jasper","61",".12%","98.39%","1",".03%","1.61%","62",".12%"
"Jeff Davis","89",".18%","97.80%","2",".05%","2.20%","91",".17%"
"Jefferson","120",".24%","97.56%","3",".08%","2.44%","123",".23%"
"Jenkins","79",".16%","96.34%","3",".08%","3.66%","82",".15%"
"Johnson","57",".12%","93.44%","4",".11%","6.56%","61",".11%"
"Jones","160",".32%","92.49%","13",".35%","7.51%","173",".32%"
"Lamar","69",".14%","94.52%","4",".11%","5.48%","73",".14%"
"Lanier","49",".10%","98.00%","1",".03%","2.00%","50",".09%"
"Laurens","321",".65%","94.41%","19",".51%","5.59%","340",".64%"
"Lee","81",".16%","94.19%","5",".13%","5.81%","86",".16%"
"Liberty","298",".60%","94.01%","19",".51%","5.99%","317",".60%"
"Lincoln","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"Long","78",".16%","93.98%","5",".13%","6.02%","83",".16%"
"Lowndes","520","1.05%","93.19%","38","1.02%","6.81%","558","1.05%"
"Lumpkin","103",".21%","90.35%","11",".29%","9.65%","114",".21%"
"Macon","69",".14%","93.24%","5",".13%","6.76%","74",".14%"
"Madison","112",".23%","91.06%","11",".29%","8.94%","123",".23%"
"Marion","43",".09%","95.56%","2",".05%","4.44%","45",".08%"
"Mcduffie","186",".38%","96.37%","7",".19%","3.63%","193",".36%"
"Mcintosh","60",".12%","98.36%","1",".03%","1.64%","61",".11%"
"Meriwether","215",".43%","94.71%","12",".32%","5.29%","227",".43%"
"Miller","33",".07%","94.29%","2",".05%","5.71%","35",".07%"
"Mitchell","178",".36%","92.23%","15",".40%","7.77%","193",".36%"
"Monroe","137",".28%","92.57%","11",".29%","7.43%","148",".28%"
"Montgomery","56",".11%","88.89%","7",".19%","11.11%","63",".12%"
"Morgan","160",".32%","94.67%","9",".24%","5.33%","169",".32%"
"Murray","196",".40%","89.91%","22",".59%","10.09%","218",".41%"
"Muscogee","1,843","3.72%","94.17%","114","3.05%","5.83%","1,957","3.67%"
"Newton","636","1.28%","89.83%","72","1.93%","10.17%","708","1.33%"
"Oconee","52",".10%","98.11%","1",".03%","1.89%","53",".10%"
"Oglethorpe","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
"Paulding","250",".50%","93.28%","18",".48%","6.72%","268",".50%"
"Peach","82",".17%","96.47%","3",".08%","3.53%","85",".16%"
"Pickens","93",".19%","92.08%","8",".21%","7.92%","101",".19%"
"Pierce","64",".13%","98.46%","1",".03%","1.54%","65",".12%"
"Pike","56",".11%","94.92%","3",".08%","5.08%","59",".11%"
