"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Houston County","703","1.41%","93.73%","47","1.25%","6.27%","750","1.40%"
"Irwin County","76",".15%","98.70%","1",".03%","1.30%","77",".14%"
"Jackson County","246",".49%","93.54%","17",".45%","6.46%","263",".49%"
"Jasper County","55",".11%","93.22%","4",".11%","6.78%","59",".11%"
"Jeff Davis County","91",".18%","94.79%","5",".13%","5.21%","96",".18%"
"Jefferson County","153",".31%","97.45%","4",".11%","2.55%","157",".29%"
"Jenkins County","91",".18%","95.79%","4",".11%","4.21%","95",".18%"
"Johnson County","47",".09%","97.92%","1",".03%","2.08%","48",".09%"
"Jones County","182",".36%","91.00%","18",".48%","9.00%","200",".37%"
"Lamar County","73",".15%","90.12%","8",".21%","9.88%","81",".15%"
"Lanier County","53",".11%","100.00%","","","","53",".10%"
"Laurens County","275",".55%","93.86%","18",".48%","6.14%","293",".54%"
"Lee County","67",".13%","91.78%","6",".16%","8.22%","73",".14%"
"Liberty County","252",".50%","93.33%","18",".48%","6.67%","270",".50%"
"Lincoln County","29",".06%","100.00%","","","","29",".05%"
"Long County","76",".15%","91.57%","7",".19%","8.43%","83",".15%"
"Lowndes County","516","1.03%","96.09%","21",".56%","3.91%","537","1.00%"
"Lumpkin County","86",".17%","91.49%","8",".21%","8.51%","94",".17%"
"Macon County","62",".12%","100.00%","","","","62",".12%"
"Madison County","139",".28%","90.26%","15",".40%","9.74%","154",".29%"
"Marion County","21",".04%","91.30%","2",".05%","8.70%","23",".04%"
"Mcduffie County","196",".39%","95.15%","10",".27%","4.85%","206",".38%"
"Mcintosh County","51",".10%","100.00%","","","","51",".09%"
"Meriwether County","180",".36%","90.45%","19",".51%","9.55%","199",".37%"
"Miller County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"Mitchell County","159",".32%","92.44%","13",".35%","7.56%","172",".32%"
"Monroe County","139",".28%","89.68%","16",".43%","10.32%","155",".29%"
"Montgomery County","28",".06%","90.32%","3",".08%","9.68%","31",".06%"
"Morgan County","139",".28%","90.26%","15",".40%","9.74%","154",".29%"
"Murray County","165",".33%","91.67%","15",".40%","8.33%","180",".33%"
"Muscogee County","1,206","2.41%","94.37%","72","1.92%","5.63%","1,278","2.38%"
"Newton County","683","1.37%","91.92%","60","1.60%","8.08%","743","1.38%"
"Oconee County","58",".12%","95.08%","3",".08%","4.92%","61",".11%"
"Oglethorpe County","61",".12%","96.83%","2",".05%","3.17%","63",".12%"
"Paulding County","238",".48%","91.54%","22",".59%","8.46%","260",".48%"
"Peach County","92",".18%","93.88%","6",".16%","6.12%","98",".18%"
"Pickens County","86",".17%","88.66%","11",".29%","11.34%","97",".18%"
"Pierce County","91",".18%","94.79%","5",".13%","5.21%","96",".18%"
