"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Crawford","23",".05%","88.46%","3",".08%","11.54%","26",".05%"
"Crisp","307",".62%","95.94%","13",".36%","4.06%","320",".60%"
"Dade","149",".30%","96.13%","6",".17%","3.87%","155",".29%"
"Dawson","95",".19%","91.35%","9",".25%","8.65%","104",".19%"
"Decatur","325",".65%","94.20%","20",".56%","5.80%","345",".65%"
"Dekalb","2,905","5.82%","94.90%","156","4.34%","5.10%","3,061","5.73%"
"Dodge","164",".33%","92.13%","14",".39%","7.87%","178",".33%"
"Dooly","111",".22%","94.07%","7",".19%","5.93%","118",".22%"
"Dougherty","1,003","2.01%","95.52%","47","1.31%","4.48%","1,050","1.96%"
"Douglas","1,115","2.24%","91.54%","103","2.87%","8.46%","1,218","2.28%"
"Early","80",".16%","98.77%","1",".03%","1.23%","81",".15%"
"Echols","10",".02%","100.00%","","","","10",".02%"
"Effingham","129",".26%","91.49%","12",".33%","8.51%","141",".26%"
"Elbert","146",".29%","96.05%","6",".17%","3.95%","152",".28%"
"Emanuel","165",".33%","97.06%","5",".14%","2.94%","170",".32%"
"Evans","97",".19%","98.98%","1",".03%","1.02%","98",".18%"
"Fannin","102",".20%","90.27%","11",".31%","9.73%","113",".21%"
"Fayette","325",".65%","88.80%","41","1.14%","11.20%","366",".68%"
"Floyd","845","1.69%","90.28%","91","2.53%","9.72%","936","1.75%"
"Forsyth","289",".58%","86.53%","45","1.25%","13.47%","334",".62%"
"Franklin","162",".32%","91.53%","15",".42%","8.47%","177",".33%"
"Fulton","4,326","8.67%","96.20%","171","4.76%","3.80%","4,497","8.41%"
"Gilmer","103",".21%","88.79%","13",".36%","11.21%","116",".22%"
"Glascock","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Glynn","426",".85%","95.95%","18",".50%","4.05%","444",".83%"
"Gordon","298",".60%","90.85%","30",".83%","9.15%","328",".61%"
"Grady","242",".49%","96.03%","10",".28%","3.97%","252",".47%"
"Greene","119",".24%","95.97%","5",".14%","4.03%","124",".23%"
"Gwinnett","1,851","3.71%","92.46%","151","4.20%","7.54%","2,002","3.74%"
"Habersham","119",".24%","93.70%","8",".22%","6.30%","127",".24%"
"Hall","771","1.55%","92.45%","63","1.75%","7.55%","834","1.56%"
"Hancock","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Haralson","79",".16%","96.34%","3",".08%","3.66%","82",".15%"
"Harris","130",".26%","96.30%","5",".14%","3.70%","135",".25%"
"Hart","118",".24%","93.65%","8",".22%","6.35%","126",".24%"
"Heard","61",".12%","82.43%","13",".36%","17.57%","74",".14%"
"Henry","539","1.08%","89.09%","66","1.84%","10.91%","605","1.13%"
"Houston","620","1.24%","92.81%","48","1.34%","7.19%","668","1.25%"
