"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","181",".36%","91.88%","16",".41%","8.12%","197",".36%"
"Appling County","115",".23%","96.64%","4",".10%","3.36%","119",".22%"
"Atkinson County","56",".11%","90.32%","6",".15%","9.68%","62",".11%"
"Bacon County","78",".15%","90.70%","8",".20%","9.30%","86",".16%"
"Baker County","13",".03%","100.00%","","","","13",".02%"
"Baldwin County","300",".59%","93.17%","22",".56%","6.83%","322",".59%"
"Banks County","67",".13%","89.33%","8",".20%","10.67%","75",".14%"
"Barrow County","337",".66%","90.59%","35",".89%","9.41%","372",".68%"
"Bartow County","619","1.22%","87.80%","86","2.19%","12.20%","705","1.28%"
"Ben Hill County","260",".51%","93.53%","18",".46%","6.47%","278",".51%"
"Berrien County","88",".17%","97.78%","2",".05%","2.22%","90",".16%"
"Bibb County","1,117","2.19%","93.32%","80","2.03%","6.68%","1,197","2.18%"
"Bleckley County","68",".13%","89.47%","8",".20%","10.53%","76",".14%"
"Brantley County","82",".16%","85.42%","14",".36%","14.58%","96",".17%"
"Brooks County","57",".11%","96.61%","2",".05%","3.39%","59",".11%"
"Bryan County","61",".12%","96.83%","2",".05%","3.17%","63",".11%"
"Bulloch County","521","1.02%","93.37%","37",".94%","6.63%","558","1.02%"
"Burke County","233",".46%","95.88%","10",".25%","4.12%","243",".44%"
"Butts County","111",".22%","94.07%","7",".18%","5.93%","118",".22%"
"Calhoun County","32",".06%","91.43%","3",".08%","8.57%","35",".06%"
"Camden County","216",".42%","93.51%","15",".38%","6.49%","231",".42%"
"Candler County","112",".22%","93.33%","8",".20%","6.67%","120",".22%"
"Carroll County","661","1.30%","92.71%","52","1.32%","7.29%","713","1.30%"
"Catoosa County","387",".76%","88.56%","50","1.27%","11.44%","437",".80%"
"Charlton County","61",".12%","88.41%","8",".20%","11.59%","69",".13%"
"Chatham County","1,887","3.70%","95.11%","97","2.47%","4.89%","1,984","3.62%"
"Chattahoochee County","27",".05%","100.00%","","","","27",".05%"
"Chattooga County","217",".43%","86.80%","33",".84%","13.20%","250",".46%"
"Cherokee County","552","1.08%","92.31%","46","1.17%","7.69%","598","1.09%"
"Clarke County","574","1.13%","93.64%","39",".99%","6.36%","613","1.12%"
"Clay County","29",".06%","87.88%","4",".10%","12.12%","33",".06%"
"Clayton County","1,375","2.70%","92.22%","116","2.95%","7.78%","1,491","2.72%"
"Clinch County","43",".08%","84.31%","8",".20%","15.69%","51",".09%"
"Cobb County","2,533","4.97%","92.08%","218","5.54%","7.92%","2,751","5.01%"
"Coffee County","231",".45%","94.29%","14",".36%","5.71%","245",".45%"
"Colquitt County","216",".42%","94.32%","13",".33%","5.68%","229",".42%"
"Columbia County","438",".86%","91.82%","39",".99%","8.18%","477",".87%"
"Cook County","121",".24%","92.37%","10",".25%","7.63%","131",".24%"
