"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Crawford","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Crisp","301",".60%","94.65%","17",".48%","5.35%","318",".59%"
"Dade","145",".29%","96.67%","5",".14%","3.33%","150",".28%"
"Dawson","96",".19%","90.57%","10",".28%","9.43%","106",".20%"
"Decatur","311",".62%","92.84%","24",".68%","7.16%","335",".62%"
"Dekalb","2,984","5.92%","95.06%","155","4.36%","4.94%","3,139","5.82%"
"Dodge","159",".32%","91.91%","14",".39%","8.09%","173",".32%"
"Dooly","111",".22%","95.69%","5",".14%","4.31%","116",".22%"
"Dougherty","1,021","2.03%","95.51%","48","1.35%","4.49%","1,069","1.98%"
"Douglas","1,072","2.13%","91.47%","100","2.81%","8.53%","1,172","2.17%"
"Early","81",".16%","98.78%","1",".03%","1.22%","82",".15%"
"Echols","12",".02%","100.00%","","","","12",".02%"
"Effingham","143",".28%","91.67%","13",".37%","8.33%","156",".29%"
"Elbert","146",".29%","94.81%","8",".23%","5.19%","154",".29%"
"Emanuel","162",".32%","97.59%","4",".11%","2.41%","166",".31%"
"Evans","97",".19%","98.98%","1",".03%","1.02%","98",".18%"
"Fannin","107",".21%","92.24%","9",".25%","7.76%","116",".22%"
"Fayette","325",".65%","90.78%","33",".93%","9.22%","358",".66%"
"Floyd","853","1.69%","89.79%","97","2.73%","10.21%","950","1.76%"
"Forsyth","299",".59%","86.67%","46","1.29%","13.33%","345",".64%"
"Franklin","173",".34%","92.02%","15",".42%","7.98%","188",".35%"
"Fulton","4,293","8.52%","96.41%","160","4.50%","3.59%","4,453","8.26%"
"Gilmer","98",".19%","89.09%","12",".34%","10.91%","110",".20%"
"Glascock","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Glynn","425",".84%","95.94%","18",".51%","4.06%","443",".82%"
"Gordon","293",".58%","92.72%","23",".65%","7.28%","316",".59%"
"Grady","246",".49%","95.72%","11",".31%","4.28%","257",".48%"
"Greene","117",".23%","98.32%","2",".06%","1.68%","119",".22%"
"Gwinnett","1,837","3.65%","93.06%","137","3.85%","6.94%","1,974","3.66%"
"Habersham","116",".23%","93.55%","8",".23%","6.45%","124",".23%"
"Hall","813","1.61%","92.49%","66","1.86%","7.51%","879","1.63%"
"Hancock","31",".06%","93.94%","2",".06%","6.06%","33",".06%"
"Haralson","87",".17%","94.57%","5",".14%","5.43%","92",".17%"
"Harris","134",".27%","97.10%","4",".11%","2.90%","138",".26%"
"Hart","119",".24%","93.70%","8",".23%","6.30%","127",".24%"
"Heard","62",".12%","84.93%","11",".31%","15.07%","73",".14%"
"Henry","572","1.14%","90.22%","62","1.74%","9.78%","634","1.18%"
"Houston","640","1.27%","93.43%","45","1.27%","6.57%","685","1.27%"
