"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Wheeler County","23",".05%","95.83%","1",".03%","4.17%","24",".04%"
"White County","91",".18%","85.05%","16",".45%","14.95%","107",".20%"
"Whitfield County","533","1.06%","89.58%","62","1.73%","10.42%","595","1.11%"
"Wilcox County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"Wilkes County","68",".14%","98.55%","1",".03%","1.45%","69",".13%"
"Wilkinson County","47",".09%","95.92%","2",".06%","4.08%","49",".09%"
"Worth County","115",".23%","95.04%","6",".17%","4.96%","121",".23%"
"Total Rported","50,121","100%","93.32%","3,585","100%","6.68%","53,706","100%"
