"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","591","1.29%","94.86%","32",".93%","5.14%","623","1.26%"
"Crawford County","22",".05%","100.00%","","","","22",".04%"
"Crisp County","367",".80%","92.68%","29",".84%","7.32%","396",".80%"
"Dade County","86",".19%","86.87%","13",".38%","13.13%","99",".20%"
"Dawson County","108",".24%","84.38%","20",".58%","15.63%","128",".26%"
"Decatur County","267",".58%","91.75%","24",".70%","8.25%","291",".59%"
"Dekalb County","2,343","5.11%","95.79%","103","3.00%","4.21%","2,446","4.96%"
"Dodge County","129",".28%","88.36%","17",".49%","11.64%","146",".30%"
"Dooly County","140",".31%","88.61%","18",".52%","11.39%","158",".32%"
"Dougherty County","745","1.63%","95.76%","33",".96%","4.24%","778","1.58%"
"Douglas County","896","1.95%","91.90%","79","2.30%","8.10%","975","1.98%"
"Early County","82",".18%","96.47%","3",".09%","3.53%","85",".17%"
"Echols County","10",".02%","76.92%","3",".09%","23.08%","13",".03%"
"Effingham County","297",".65%","90.00%","33",".96%","10.00%","330",".67%"
"Elbert County","118",".26%","92.19%","10",".29%","7.81%","128",".26%"
"Emanuel County","181",".39%","93.78%","12",".35%","6.22%","193",".39%"
"Evans County","71",".15%","89.87%","8",".23%","10.13%","79",".16%"
"Fannin County","107",".23%","89.17%","13",".38%","10.83%","120",".24%"
"Fayette County","351",".77%","91.41%","33",".96%","8.59%","384",".78%"
"Floyd County","845","1.84%","90.57%","88","2.56%","9.43%","933","1.89%"
"Forsyth County","377",".82%","89.76%","43","1.25%","10.24%","420",".85%"
"Franklin County","152",".33%","86.86%","23",".67%","13.14%","175",".36%"
"Fulton County","4,059","8.86%","96.25%","158","4.60%","3.75%","4,217","8.56%"
"Gilmer County","95",".21%","89.62%","11",".32%","10.38%","106",".22%"
"Glascock County","11",".02%","100.00%","","","","11",".02%"
"Glynn County","489","1.07%","93.32%","35","1.02%","6.68%","524","1.06%"
"Gordon County","357",".78%","86.86%","54","1.57%","13.14%","411",".83%"
"Grady County","183",".40%","92.89%","14",".41%","7.11%","197",".40%"
"Greene County","121",".26%","96.03%","5",".15%","3.97%","126",".26%"
"Gwinnett County","2,304","5.03%","93.51%","160","4.66%","6.49%","2,464","5.00%"
"Habersham County","119",".26%","85.61%","20",".58%","14.39%","139",".28%"
"Hall County","658","1.44%","91.90%","58","1.69%","8.10%","716","1.45%"
"Hancock County","39",".09%","97.50%","1",".03%","2.50%","40",".08%"
"Haralson County","165",".36%","92.70%","13",".38%","7.30%","178",".36%"
"Harris County","91",".20%","100.00%","","","","91",".18%"
"Hart County","176",".38%","90.26%","19",".55%","9.74%","195",".40%"
"Heard County","44",".10%","89.80%","5",".15%","10.20%","49",".10%"
"Henry County","675","1.47%","92.34%","56","1.63%","7.66%","731","1.48%"
