"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","542","1.23%","93.77%","36","1.15%","6.23%","578","1.22%"
"Crawford County","21",".05%","100.00%","","","","21",".04%"
"Crisp County","340",".77%","93.92%","22",".70%","6.08%","362",".77%"
"Dade County","78",".18%","88.64%","10",".32%","11.36%","88",".19%"
"Dawson County","101",".23%","90.18%","11",".35%","9.82%","112",".24%"
"Decatur County","228",".52%","94.61%","13",".42%","5.39%","241",".51%"
"Dekalb County","2,341","5.31%","95.47%","111","3.54%","4.53%","2,452","5.19%"
"Dodge County","101",".23%","87.07%","15",".48%","12.93%","116",".25%"
"Dooly County","131",".30%","91.61%","12",".38%","8.39%","143",".30%"
"Dougherty County","703","1.59%","95.26%","35","1.12%","4.74%","738","1.56%"
"Douglas County","891","2.02%","92.43%","73","2.33%","7.57%","964","2.04%"
"Early County","81",".18%","97.59%","2",".06%","2.41%","83",".18%"
"Echols County","14",".03%","100.00%","","","","14",".03%"
"Effingham County","212",".48%","90.60%","22",".70%","9.40%","234",".50%"
"Elbert County","128",".29%","94.81%","7",".22%","5.19%","135",".29%"
"Emanuel County","168",".38%","93.85%","11",".35%","6.15%","179",".38%"
"Evans County","77",".17%","93.90%","5",".16%","6.10%","82",".17%"
"Fannin County","94",".21%","87.85%","13",".42%","12.15%","107",".23%"
"Fayette County","320",".73%","94.40%","19",".61%","5.60%","339",".72%"
"Floyd County","849","1.93%","89.65%","98","3.13%","10.35%","947","2.01%"
"Forsyth County","358",".81%","90.40%","38","1.21%","9.60%","396",".84%"
"Franklin County","142",".32%","88.20%","19",".61%","11.80%","161",".34%"
"Fulton County","4,147","9.40%","96.51%","150","4.79%","3.49%","4,297","9.10%"
"Gilmer County","102",".23%","94.44%","6",".19%","5.56%","108",".23%"
"Glascock County","10",".02%","100.00%","","","","10",".02%"
"Glynn County","461","1.05%","94.86%","25",".80%","5.14%","486","1.03%"
"Gordon County","372",".84%","88.78%","47","1.50%","11.22%","419",".89%"
"Grady County","165",".37%","94.29%","10",".32%","5.71%","175",".37%"
"Greene County","105",".24%","93.75%","7",".22%","6.25%","112",".24%"
"Gwinnett County","2,275","5.16%","94.12%","142","4.53%","5.88%","2,417","5.12%"
"Habersham County","108",".24%","88.52%","14",".45%","11.48%","122",".26%"
"Hall County","636","1.44%","92.85%","49","1.56%","7.15%","685","1.45%"
"Hancock County","40",".09%","95.24%","2",".06%","4.76%","42",".09%"
"Haralson County","125",".28%","91.24%","12",".38%","8.76%","137",".29%"
"Harris County","89",".20%","94.68%","5",".16%","5.32%","94",".20%"
"Hart County","156",".35%","90.17%","17",".54%","9.83%","173",".37%"
"Heard County","46",".10%","95.83%","2",".06%","4.17%","48",".10%"
"Henry County","591","1.34%","91.91%","52","1.66%","8.09%","643","1.36%"
