"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Oconee County","58","0.12%","90.63%","6","0.15%","9.38%","64","0.12%"
"Oglethorpe County","51","0.1%","96.23%","2","0.05%","3.77%","53","0.1%"
"Paulding County","264","0.54%","92.96%","20","0.5%","7.04%","284","0.54%"
"Peach County","73","0.15%","96.05%","3","0.08%","3.95%","76","0.14%"
"Pickens County","99","0.2%","86.09%","16","0.4%","13.91%","115","0.22%"
"Pierce County","116","0.24%","92.8%","9","0.23%","7.2%","125","0.24%"
"Pike County","34","0.07%","85.0%","6","0.15%","15.0%","40","0.08%"
"Polk County","192","0.39%","91.87%","17","0.43%","8.13%","209","0.4%"
"Pulaski County","52","0.11%","96.3%","2","0.05%","3.7%","54","0.1%"
"Putnam County","137","0.28%","92.57%","11","0.28%","7.43%","148","0.28%"
"Quitman County","11","0.02%","100.0%","","","","11","0.02%"
"Rabun County","54","0.11%","90.0%","6","0.15%","10.0%","60","0.11%"
"Randolph County","40","0.08%","95.24%","2","0.05%","4.76%","42","0.08%"
"Richmond County","1,690","3.46%","94.15%","105","2.63%","5.85%","1,795","3.4%"
"Rockdale County","425","0.87%","93.2%","31","0.78%","6.8%","456","0.86%"
"Schley County","16","0.03%","88.89%","2","0.05%","11.11%","18","0.03%"
"Screven County","90","0.18%","91.84%","8","0.2%","8.16%","98","0.19%"
"Seminole County","67","0.14%","90.54%","7","0.18%","9.46%","74","0.14%"
"Spalding County","478","0.98%","89.35%","57","1.43%","10.65%","535","1.01%"
"Stephens County","129","0.26%","93.48%","9","0.23%","6.52%","138","0.26%"
"Stewart County","24","0.05%","88.89%","3","0.08%","11.11%","27","0.05%"
"Sumter County","196","0.4%","94.23%","12","0.3%","5.77%","208","0.39%"
"Talbot County","27","0.06%","90.0%","3","0.08%","10.0%","30","0.06%"
"Taliaferro County","16","0.03%","84.21%","3","0.08%","15.79%","19","0.04%"
"Tattnall County","239","0.49%","88.19%","32","0.8%","11.81%","271","0.51%"
"Taylor County","46","0.09%","88.46%","6","0.15%","11.54%","52","0.1%"
"Telfair County","121","0.25%","90.98%","12","0.3%","9.02%","133","0.25%"
