"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Houston County","831","1.73%","91.32%","79","2.07%","8.68%","910","1.76%"
"Irwin County","81",".17%","96.43%","3",".08%","3.57%","84",".16%"
"Jackson County","257",".54%","90.81%","26",".68%","9.19%","283",".55%"
"Jasper County","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"Jeff Davis County","99",".21%","90.00%","11",".29%","10.00%","110",".21%"
"Jefferson County","119",".25%","95.97%","5",".13%","4.03%","124",".24%"
"Jenkins County","80",".17%","95.24%","4",".10%","4.76%","84",".16%"
"Johnson County","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"Jones County","178",".37%","94.68%","10",".26%","5.32%","188",".36%"
"Lamar County","84",".18%","89.36%","10",".26%","10.64%","94",".18%"
"Lanier County","46",".10%","86.79%","7",".18%","13.21%","53",".10%"
"Laurens County","249",".52%","90.88%","25",".65%","9.12%","274",".53%"
"Lee County","74",".15%","96.10%","3",".08%","3.90%","77",".15%"
"Liberty County","248",".52%","92.88%","19",".50%","7.12%","267",".52%"
"Lincoln County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Long County","66",".14%","90.41%","7",".18%","9.59%","73",".14%"
"Lowndes County","427",".89%","95.31%","21",".55%","4.69%","448",".87%"
"Lumpkin County","76",".16%","85.39%","13",".34%","14.61%","89",".17%"
"Macon County","45",".09%","95.74%","2",".05%","4.26%","47",".09%"
"Madison County","132",".28%","89.80%","15",".39%","10.20%","147",".28%"
"Marion County","21",".04%","91.30%","2",".05%","8.70%","23",".04%"
"Mcduffie County","164",".34%","97.04%","5",".13%","2.96%","169",".33%"
"Mcintosh County","77",".16%","95.06%","4",".10%","4.94%","81",".16%"
"Meriwether County","145",".30%","97.97%","3",".08%","2.03%","148",".29%"
"Miller County","35",".07%","100.00%","","","","35",".07%"
"Mitchell County","168",".35%","91.80%","15",".39%","8.20%","183",".35%"
"Monroe County","209",".44%","84.62%","38",".99%","15.38%","247",".48%"
"Montgomery County","33",".07%","80.49%","8",".21%","19.51%","41",".08%"
"Morgan County","121",".25%","90.98%","12",".31%","9.02%","133",".26%"
"Murray County","310",".65%","87.32%","45","1.18%","12.68%","355",".69%"
"Muscogee County","1,112","2.32%","94.32%","67","1.75%","5.68%","1,179","2.28%"
"Newton County","682","1.42%","92.54%","55","1.44%","7.46%","737","1.42%"
"Oconee County","55",".11%","91.67%","5",".13%","8.33%","60",".12%"
"Oglethorpe County","52",".11%","88.14%","7",".18%","11.86%","59",".11%"
"Paulding County","231",".48%","91.30%","22",".58%","8.70%","253",".49%"
"Peach County","73",".15%","94.81%","4",".10%","5.19%","77",".15%"
"Pickens County","105",".22%","88.24%","14",".37%","11.76%","119",".23%"
"Pierce County","115",".24%","94.26%","7",".18%","5.74%","122",".24%"
