"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Irwin","71",".16%","97.26%","2",".07%","2.74%","73",".15%"
"Jackson","218",".48%","91.98%","19",".67%","8.02%","237",".49%"
"Jasper","59",".13%","98.33%","1",".04%","1.67%","60",".12%"
"Jeff Davis","60",".13%","93.75%","4",".14%","6.25%","64",".13%"
"Jefferson","105",".23%","98.13%","2",".07%","1.87%","107",".22%"
"Jenkins","69",".15%","93.24%","5",".18%","6.76%","74",".15%"
"Johnson","58",".13%","96.67%","2",".07%","3.33%","60",".12%"
"Jones","116",".25%","93.55%","8",".28%","6.45%","124",".26%"
"Lamar","77",".17%","95.06%","4",".14%","4.94%","81",".17%"
"Lanier","39",".09%","97.50%","1",".04%","2.50%","40",".08%"
"Laurens","268",".59%","93.38%","19",".67%","6.62%","287",".59%"
"Lee","50",".11%","96.15%","2",".07%","3.85%","52",".11%"
"Liberty","240",".53%","95.24%","12",".42%","4.76%","252",".52%"
"Lincoln","43",".09%","93.48%","3",".11%","6.52%","46",".09%"
"Long","87",".19%","91.58%","8",".28%","8.42%","95",".20%"
"Lowndes","514","1.13%","95.36%","25",".88%","4.64%","539","1.11%"
"Lumpkin","64",".14%","87.67%","9",".32%","12.33%","73",".15%"
"Macon","75",".16%","96.15%","3",".11%","3.85%","78",".16%"
"Madison","130",".28%","92.20%","11",".39%","7.80%","141",".29%"
"Marion","33",".07%","91.67%","3",".11%","8.33%","36",".07%"
"Mcduffie","197",".43%","93.36%","14",".49%","6.64%","211",".44%"
"Mcintosh","70",".15%","98.59%","1",".04%","1.41%","71",".15%"
"Meriwether","172",".38%","93.48%","12",".42%","6.52%","184",".38%"
"Miller","29",".06%","96.67%","1",".04%","3.33%","30",".06%"
"Mitchell","194",".43%","92.38%","16",".56%","7.62%","210",".43%"
"Monroe","157",".34%","94.01%","10",".35%","5.99%","167",".34%"
"Montgomery","48",".11%","97.96%","1",".04%","2.04%","49",".10%"
"Morgan","83",".18%","94.32%","5",".18%","5.68%","88",".18%"
"Murray","177",".39%","92.19%","15",".53%","7.81%","192",".40%"
"Muscogee","1,636","3.59%","94.62%","93","3.28%","5.38%","1,729","3.57%"
"Newton","436",".96%","94.37%","26",".92%","5.63%","462",".95%"
"Oconee","59",".13%","100.00%","","","","59",".12%"
"Oglethorpe","63",".14%","92.65%","5",".18%","7.35%","68",".14%"
"Paulding","187",".41%","93.50%","13",".46%","6.50%","200",".41%"
"Peach","87",".19%","97.75%","2",".07%","2.25%","89",".18%"
"Pickens","84",".18%","96.55%","3",".11%","3.45%","87",".18%"
"Pierce","51",".11%","96.23%","2",".07%","3.77%","53",".11%"
"Pike","51",".11%","91.07%","5",".18%","8.93%","56",".12%"
