"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","219",".46%","93.59%","15",".39%","6.41%","234",".45%"
"Appling County","125",".26%","94.70%","7",".18%","5.30%","132",".25%"
"Atkinson County","47",".10%","92.16%","4",".10%","7.84%","51",".10%"
"Bacon County","79",".16%","92.94%","6",".16%","7.06%","85",".16%"
"Baker County","17",".04%","89.47%","2",".05%","10.53%","19",".04%"
"Baldwin County","305",".64%","90.24%","33",".86%","9.76%","338",".65%"
"Banks County","68",".14%","86.08%","11",".29%","13.92%","79",".15%"
"Barrow County","390",".81%","91.12%","38",".99%","8.88%","428",".83%"
"Bartow County","555","1.16%","87.96%","76","1.98%","12.04%","631","1.22%"
"Ben Hill County","244",".51%","91.73%","22",".57%","8.27%","266",".51%"
"Berrien County","130",".27%","92.86%","10",".26%","7.14%","140",".27%"
"Bibb County","941","1.96%","95.24%","47","1.22%","4.76%","988","1.90%"
"Bleckley County","58",".12%","92.06%","5",".13%","7.94%","63",".12%"
"Brantley County","65",".14%","83.33%","13",".34%","16.67%","78",".15%"
"Brooks County","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"Bryan County","89",".19%","94.68%","5",".13%","5.32%","94",".18%"
"Bulloch County","573","1.19%","92.57%","46","1.20%","7.43%","619","1.19%"
"Burke County","207",".43%","97.18%","6",".16%","2.82%","213",".41%"
"Butts County","137",".29%","88.96%","17",".44%","11.04%","154",".30%"
"Calhoun County","22",".05%","95.65%","1",".03%","4.35%","23",".04%"
"Camden County","179",".37%","91.79%","16",".42%","8.21%","195",".38%"
"Candler County","88",".18%","93.62%","6",".16%","6.38%","94",".18%"
"Carroll County","626","1.30%","91.25%","60","1.56%","8.75%","686","1.32%"
"Catoosa County","366",".76%","85.31%","63","1.64%","14.69%","429",".83%"
"Charlton County","64",".13%","90.14%","7",".18%","9.86%","71",".14%"
"Chatham County","1,415","2.95%","95.35%","69","1.80%","4.65%","1,484","2.86%"
"Chattahoochee County","14",".03%","100.00%","","","","14",".03%"
"Chattooga County","167",".35%","88.36%","22",".57%","11.64%","189",".36%"
"Cherokee County","635","1.32%","93.52%","44","1.15%","6.48%","679","1.31%"
"Clarke County","520","1.08%","93.69%","35",".91%","6.31%","555","1.07%"
"Clay County","12",".02%","92.31%","1",".03%","7.69%","13",".03%"
"Clayton County","1,106","2.30%","93.18%","81","2.11%","6.82%","1,187","2.29%"
"Clinch County","42",".09%","93.33%","3",".08%","6.67%","45",".09%"
"Cobb County","2,113","4.40%","93.08%","157","4.09%","6.92%","2,270","4.38%"
"Coffee County","320",".67%","93.29%","23",".60%","6.71%","343",".66%"
"Colquitt County","209",".44%","97.21%","6",".16%","2.79%","215",".41%"
"Columbia County","474",".99%","89.27%","57","1.49%","10.73%","531","1.02%"
"Cook County","126",".26%","92.65%","10",".26%","7.35%","136",".26%"
