"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Webster County","9",".02%","100.00%","","","","9",".02%"
"Wheeler County","36",".07%","87.80%","5",".13%","12.20%","41",".07%"
"White County","110",".21%","89.43%","13",".33%","10.57%","123",".22%"
"Whitfield County","663","1.25%","89.84%","75","1.92%","10.16%","738","1.30%"
"Wilcox County","59",".11%","85.51%","10",".26%","14.49%","69",".12%"
"Wilkes County","73",".14%","92.41%","6",".15%","7.59%","79",".14%"
"Wilkinson County","55",".10%","93.22%","4",".10%","6.78%","59",".10%"
"Worth County","113",".21%","94.17%","7",".18%","5.83%","120",".21%"
"Total Rported","53,002","100%","93.13%","3,912","100%","6.87%","56,914","100%"
