"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","96",".19%","95.05%","5",".14%","4.95%","101",".19%"
"Atkinson","47",".09%","94.00%","3",".09%","6.00%","50",".09%"
"Bacon","64",".13%","96.97%","2",".06%","3.03%","66",".12%"
"Baker","9",".02%","100.00%","","","","9",".02%"
"Baldwin","359",".71%","95.23%","18",".52%","4.77%","377",".69%"
"Banks","65",".13%","91.55%","6",".17%","8.45%","71",".13%"
"Barrow","272",".54%","93.47%","19",".55%","6.53%","291",".54%"
"Bartow","616","1.21%","89.40%","73","2.11%","10.60%","689","1.27%"
"Ben Hill","267",".53%","93.36%","19",".55%","6.64%","286",".53%"
"Berrien","94",".19%","87.04%","14",".40%","12.96%","108",".20%"
"Bibb","1,070","2.11%","95.37%","52","1.50%","4.63%","1,122","2.07%"
"Bleckley","84",".17%","87.50%","12",".35%","12.50%","96",".18%"
"Brantley","56",".11%","87.50%","8",".23%","12.50%","64",".12%"
"Brooks","71",".14%","98.61%","1",".03%","1.39%","72",".13%"
"Bryan","101",".20%","97.12%","3",".09%","2.88%","104",".19%"
"Bulloch","481",".95%","94.50%","28",".81%","5.50%","509",".94%"
"Burke","229",".45%","95.82%","10",".29%","4.18%","239",".44%"
"Butts","142",".28%","94.67%","8",".23%","5.33%","150",".28%"
"Calhoun","44",".09%","93.62%","3",".09%","6.38%","47",".09%"
"Camden","149",".29%","94.30%","9",".26%","5.70%","158",".29%"
"Candler","85",".17%","92.39%","7",".20%","7.61%","92",".17%"
"Carroll","584","1.15%","92.11%","50","1.44%","7.89%","634","1.17%"
"Catoosa","280",".55%","90.32%","30",".87%","9.68%","310",".57%"
"Charlton","62",".12%","95.38%","3",".09%","4.62%","65",".12%"
"Chatham","2,452","4.83%","95.04%","128","3.70%","4.96%","2,580","4.75%"
"Chattahoochee","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"Chattooga","248",".49%","90.51%","26",".75%","9.49%","274",".50%"
"Cherokee","580","1.14%","89.92%","65","1.88%","10.08%","645","1.19%"
"Clarke","440",".87%","93.82%","29",".84%","6.18%","469",".86%"
"Clay","29",".06%","90.63%","3",".09%","9.38%","32",".06%"
"Clayton","1,584","3.12%","93.34%","113","3.26%","6.66%","1,697","3.13%"
"Clinch","48",".09%","97.96%","1",".03%","2.04%","49",".09%"
"Cobb","2,871","5.65%","91.78%","257","7.42%","8.22%","3,128","5.76%"
"Coffee","228",".45%","93.44%","16",".46%","6.56%","244",".45%"
"Colquitt","344",".68%","94.77%","19",".55%","5.23%","363",".67%"
"Columbia","311",".61%","92.01%","27",".78%","7.99%","338",".62%"
"Cook","142",".28%","93.42%","10",".29%","6.58%","152",".28%"
"Coweta","563","1.11%","93.06%","42","1.21%","6.94%","605","1.12%"
"Crawford","24",".05%","85.71%","4",".12%","14.29%","28",".05%"
"Crisp","314",".62%","95.44%","15",".43%","4.56%","329",".61%"
"Dade","150",".30%","96.15%","6",".17%","3.85%","156",".29%"
