"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","239","0.49%","95.22%","12","0.3%","4.78%","251","0.47%"
"Appling County","125","0.26%","94.7%","7","0.17%","5.3%","132","0.25%"
"Atkinson County","45","0.09%","91.84%","4","0.1%","8.16%","49","0.09%"
"Bacon County","75","0.15%","92.59%","6","0.15%","7.41%","81","0.15%"
"Baker County","15","0.03%","88.24%","2","0.05%","11.76%","17","0.03%"
"Baldwin County","304","0.62%","89.94%","34","0.85%","10.06%","338","0.64%"
"Banks County","78","0.16%","86.67%","12","0.3%","13.33%","90","0.17%"
"Barrow County","381","0.78%","90.71%","39","0.97%","9.29%","420","0.79%"
"Bartow County","558","1.14%","88.15%","75","1.87%","11.85%","633","1.2%"
"Ben Hill County","239","0.49%","91.92%","21","0.52%","8.08%","260","0.49%"
"Berrien County","123","0.25%","88.49%","16","0.4%","11.51%","139","0.26%"
"Bibb County","956","1.96%","95.03%","50","1.25%","4.97%","1,006","1.9%"
"Bleckley County","64","0.13%","91.43%","6","0.15%","8.57%","70","0.13%"
"Brantley County","67","0.14%","85.9%","11","0.27%","14.1%","78","0.15%"
"Brooks County","58","0.12%","95.08%","3","0.07%","4.92%","61","0.12%"
"Bryan County","98","0.2%","93.33%","7","0.17%","6.67%","105","0.2%"
"Bulloch County","578","1.18%","93.08%","43","1.07%","6.92%","621","1.17%"
"Burke County","215","0.44%","96.41%","8","0.2%","3.59%","223","0.42%"
"Butts County","150","0.31%","89.82%","17","0.42%","10.18%","167","0.32%"
"Calhoun County","27","0.06%","96.43%","1","0.02%","3.57%","28","0.05%"
"Camden County","186","0.38%","90.29%","20","0.5%","9.71%","206","0.39%"
"Candler County","99","0.2%","93.4%","7","0.17%","6.6%","106","0.2%"
"Carroll County","658","1.35%","91.39%","62","1.55%","8.61%","720","1.36%"
"Catoosa County","369","0.75%","82.74%","77","1.92%","17.26%","446","0.84%"
"Charlton County","61","0.12%","87.14%","9","0.22%","12.86%","70","0.13%"
"Chatham County","1,400","2.86%","95.11%","72","1.8%","4.89%","1,472","2.78%"
"Chattahoochee County","13","0.03%","100.0%","","","","13","0.02%"
"Chattooga County","165","0.34%","89.19%","20","0.5%","10.81%","185","0.35%"
