"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"135   Terrell County","49","0.1%","94.23%","3","0.07%","5.77%","52","0.1%"
"136   Thomas County","230","0.47%","96.64%","8","0.2%","3.36%","238","0.45%"
"137   Tift County","300","0.61%","95.24%","15","0.37%","4.76%","315","0.59%"
"138   Toombs County","297","0.6%","91.95%","26","0.64%","8.05%","323","0.61%"
"139   Towns County","53","0.11%","80.3%","13","0.32%","19.7%","66","0.12%"
"140   Treutlen County","56","0.11%","94.92%","3","0.07%","5.08%","59","0.11%"
"141   Troup County","586","1.19%","92.14%","50","1.23%","7.86%","636","1.19%"
"142   Turner County","62","0.13%","95.38%","3","0.07%","4.62%","65","0.12%"
"143   Twiggs County","36","0.07%","87.8%","5","0.12%","12.2%","41","0.08%"
"144   Union County","75","0.15%","86.21%","12","0.3%","13.79%","87","0.16%"
"145   Upson County","214","0.43%","91.06%","21","0.52%","8.94%","235","0.44%"
"146   Walker County","390","0.79%","91.76%","35","0.86%","8.24%","425","0.8%"
"147   Walton County","654","1.33%","91.21%","63","1.55%","8.79%","717","1.34%"
"148   Ware County","257","0.52%","88.32%","34","0.84%","11.68%","291","0.55%"
"149   Warren County","25","0.05%","92.59%","2","0.05%","7.41%","27","0.05%"
"150   Washington County","178","0.36%","93.68%","12","0.3%","6.32%","190","0.36%"
"151   Wayne County","181","0.37%","89.16%","22","0.54%","10.84%","203","0.38%"
"152   Webster County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"153   Wheeler County","24","0.05%","85.71%","4","0.1%","14.29%","28","0.05%"
"154   White County","95","0.19%","92.23%","8","0.2%","7.77%","103","0.19%"
"155   Whitfield County","755","1.53%","87.79%","105","2.59%","12.21%","860","1.61%"
"156   Wilcox County","64","0.13%","92.75%","5","0.12%","7.25%","69","0.13%"
"157   Wilkes County","70","0.14%","97.22%","2","0.05%","2.78%","72","0.13%"
"158   Wilkinson County","38","0.08%","97.44%","1","0.02%","2.56%","39","0.07%"
"159   Worth County","130","0.26%","92.2%","11","0.27%","7.8%","141","0.26%"
"Total Reported","49,277","100.00%","92.39%","4,061","100.00%","7.61%","53,338","100.00%"
