"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","44",".09%","91.67%","4",".10%","8.33%","48",".09%"
"Polk County","186",".37%","92.54%","15",".39%","7.46%","201",".37%"
"Pulaski County","54",".11%","94.74%","3",".08%","5.26%","57",".10%"
"Putnam County","158",".31%","91.33%","15",".39%","8.67%","173",".32%"
"Quitman County","17",".03%","100.00%","","","","17",".03%"
"Rabun County","54",".11%","90.00%","6",".16%","10.00%","60",".11%"
"Randolph County","65",".13%","94.20%","4",".10%","5.80%","69",".13%"
"Richmond County","1,999","3.94%","93.24%","145","3.78%","6.76%","2,144","3.93%"
"Rockdale County","478",".94%","92.82%","37",".96%","7.18%","515",".94%"
"Schley County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Screven County","135",".27%","97.83%","3",".08%","2.17%","138",".25%"
"Seminole County","71",".14%","85.54%","12",".31%","14.46%","83",".15%"
"Spalding County","473",".93%","93.66%","32",".83%","6.34%","505",".93%"
"Stephens County","161",".32%","90.45%","17",".44%","9.55%","178",".33%"
"Stewart County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Sumter County","193",".38%","95.54%","9",".23%","4.46%","202",".37%"
"Talbot County","45",".09%","93.75%","3",".08%","6.25%","48",".09%"
"Taliaferro County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"Tattnall County","188",".37%","93.07%","14",".36%","6.93%","202",".37%"
"Taylor County","69",".14%","94.52%","4",".10%","5.48%","73",".13%"
"Telfair County","110",".22%","91.67%","10",".26%","8.33%","120",".22%"
"Terrell County","88",".17%","93.62%","6",".16%","6.38%","94",".17%"
"Thomas County","221",".44%","93.64%","15",".39%","6.36%","236",".43%"
"Tift County","350",".69%","94.34%","21",".55%","5.66%","371",".68%"
"Toombs County","333",".66%","90.24%","36",".94%","9.76%","369",".68%"
"Towns County","52",".10%","76.47%","16",".42%","23.53%","68",".12%"
"Treutlen County","70",".14%","93.33%","5",".13%","6.67%","75",".14%"
"Troup County","622","1.23%","92.15%","53","1.38%","7.85%","675","1.24%"
"Turner County","71",".14%","97.26%","2",".05%","2.74%","73",".13%"
"Twiggs County","56",".11%","96.55%","2",".05%","3.45%","58",".11%"
"Union County","89",".18%","90.82%","9",".23%","9.18%","98",".18%"
"Upson County","176",".35%","93.12%","13",".34%","6.88%","189",".35%"
"Walker County","455",".90%","91.37%","43","1.12%","8.63%","498",".91%"
"Walton County","547","1.08%","92.55%","44","1.15%","7.45%","591","1.08%"
"Ware County","375",".74%","91.69%","34",".89%","8.31%","409",".75%"
"Warren County","33",".07%","100.00%","","","","33",".06%"
"Washington County","176",".35%","90.72%","18",".47%","9.28%","194",".36%"
"Wayne County","151",".30%","92.64%","12",".31%","7.36%","163",".30%"
