"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","177",".35%","93.65%","12",".31%","6.35%","189",".35%"
"Appling County","113",".22%","96.58%","4",".10%","3.42%","117",".21%"
"Atkinson County","55",".11%","88.71%","7",".18%","11.29%","62",".11%"
"Bacon County","77",".15%","90.59%","8",".20%","9.41%","85",".16%"
"Baker County","14",".03%","100.00%","","","","14",".03%"
"Baldwin County","301",".59%","93.77%","20",".51%","6.23%","321",".59%"
"Banks County","74",".15%","90.24%","8",".20%","9.76%","82",".15%"
"Barrow County","338",".66%","90.86%","34",".87%","9.14%","372",".68%"
"Bartow County","635","1.25%","87.59%","90","2.30%","12.41%","725","1.32%"
"Ben Hill County","255",".50%","93.07%","19",".48%","6.93%","274",".50%"
"Berrien County","90",".18%","97.83%","2",".05%","2.17%","92",".17%"
"Bibb County","1,108","2.18%","93.58%","76","1.94%","6.42%","1,184","2.16%"
"Bleckley County","68",".13%","88.31%","9",".23%","11.69%","77",".14%"
"Brantley County","83",".16%","86.46%","13",".33%","13.54%","96",".18%"
"Brooks County","52",".10%","98.11%","1",".03%","1.89%","53",".10%"
"Bryan County","62",".12%","96.88%","2",".05%","3.13%","64",".12%"
"Bulloch County","521","1.02%","92.21%","44","1.12%","7.79%","565","1.03%"
"Burke County","226",".44%","95.36%","11",".28%","4.64%","237",".43%"
"Butts County","115",".23%","94.26%","7",".18%","5.74%","122",".22%"
"Calhoun County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Camden County","212",".42%","94.22%","13",".33%","5.78%","225",".41%"
"Candler County","112",".22%","92.56%","9",".23%","7.44%","121",".22%"
"Carroll County","620","1.22%","91.45%","58","1.48%","8.55%","678","1.24%"
"Catoosa County","386",".76%","88.74%","49","1.25%","11.26%","435",".79%"
"Charlton County","62",".12%","91.18%","6",".15%","8.82%","68",".12%"
"Chatham County","1,876","3.69%","94.84%","102","2.60%","5.16%","1,978","3.61%"
"Chattahoochee County","26",".05%","100.00%","","","","26",".05%"
"Chattooga County","227",".45%","90.08%","25",".64%","9.92%","252",".46%"
"Cherokee County","560","1.10%","90.91%","56","1.43%","9.09%","616","1.12%"
"Clarke County","563","1.11%","93.06%","42","1.07%","6.94%","605","1.10%"
"Clay County","24",".05%","82.76%","5",".13%","17.24%","29",".05%"
"Clayton County","1,416","2.78%","92.37%","117","2.98%","7.63%","1,533","2.80%"
"Clinch County","50",".10%","89.29%","6",".15%","10.71%","56",".10%"
