"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","395",".79%","93.16%","29",".82%","6.84%","424",".79%"
"Appling County","92",".18%","92.93%","7",".20%","7.07%","99",".18%"
"Atkinson County","51",".10%","98.08%","1",".03%","1.92%","52",".10%"
"Bacon County","74",".15%","92.50%","6",".17%","7.50%","80",".15%"
"Baker County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin County","322",".64%","94.99%","17",".48%","5.01%","339",".63%"
"Banks County","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"Barrow County","256",".51%","91.76%","23",".65%","8.24%","279",".52%"
"Bartow County","644","1.28%","88.46%","84","2.37%","11.54%","728","1.35%"
"Ben Hill County","252",".50%","95.45%","12",".34%","4.55%","264",".49%"
"Berrien County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"Bibb County","1,043","2.08%","95.16%","53","1.49%","4.84%","1,096","2.04%"
"Bleckley County","62",".12%","89.86%","7",".20%","10.14%","69",".13%"
"Brantley County","65",".13%","91.55%","6",".17%","8.45%","71",".13%"
"Brooks County","74",".15%","93.67%","5",".14%","6.33%","79",".15%"
"Bryan County","89",".18%","98.89%","1",".03%","1.11%","90",".17%"
"Bulloch County","491",".98%","91.78%","44","1.24%","8.22%","535","1.00%"
"Burke County","208",".41%","96.30%","8",".23%","3.70%","216",".40%"
"Butts County","148",".29%","95.48%","7",".20%","4.52%","155",".29%"
"Calhoun County","29",".06%","87.88%","4",".11%","12.12%","33",".06%"
"Camden County","171",".34%","92.43%","14",".39%","7.57%","185",".34%"
"Candler County","118",".24%","90.08%","13",".37%","9.92%","131",".24%"
"Carroll County","554","1.10%","91.72%","50","1.41%","8.28%","604","1.12%"
"Catoosa County","344",".69%","91.98%","30",".84%","8.02%","374",".70%"
"Charlton County","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"Chatham County","2,169","4.32%","96.96%","68","1.91%","3.04%","2,237","4.16%"
"Chattahoochee County","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"Chattooga County","227",".45%","87.31%","33",".93%","12.69%","260",".48%"
"Cherokee County","481",".96%","92.32%","40","1.13%","7.68%","521",".97%"
"Clarke County","448",".89%","95.52%","21",".59%","4.48%","469",".87%"
"Clay County","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"Clayton County","1,480","2.95%","92.96%","112","3.15%","7.04%","1,592","2.96%"
"Clinch County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"Cobb County","2,553","5.09%","91.77%","229","6.45%","8.23%","2,782","5.18%"
"Coffee County","240",".48%","93.75%","16",".45%","6.25%","256",".48%"
"Colquitt County","241",".48%","94.51%","14",".39%","5.49%","255",".47%"
"Columbia County","385",".77%","91.89%","34",".96%","8.11%","419",".78%"
"Cook County","115",".23%","96.64%","4",".11%","3.36%","119",".22%"
