"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","182",".38%","94.79%","10",".29%","5.21%","192",".37%"
"Appling County","110",".23%","95.65%","5",".14%","4.35%","115",".22%"
"Atkinson County","44",".09%","88.00%","6",".17%","12.00%","50",".10%"
"Bacon County","85",".18%","96.59%","3",".09%","3.41%","88",".17%"
"Baker County","13",".03%","86.67%","2",".06%","13.33%","15",".03%"
"Baldwin County","279",".58%","92.38%","23",".66%","7.62%","302",".58%"
"Banks County","66",".14%","90.41%","7",".20%","9.59%","73",".14%"
"Barrow County","313",".65%","90.20%","34",".97%","9.80%","347",".67%"
"Bartow County","574","1.18%","88.31%","76","2.18%","11.69%","650","1.25%"
"Ben Hill County","227",".47%","93.80%","15",".43%","6.20%","242",".47%"
"Berrien County","97",".20%","96.04%","4",".11%","3.96%","101",".19%"
"Bibb County","1,092","2.25%","95.12%","56","1.60%","4.88%","1,148","2.21%"
"Bleckley County","61",".13%","89.71%","7",".20%","10.29%","68",".13%"
"Brantley County","90",".19%","90.00%","10",".29%","10.00%","100",".19%"
"Brooks County","52",".11%","98.11%","1",".03%","1.89%","53",".10%"
"Bryan County","44",".09%","97.78%","1",".03%","2.22%","45",".09%"
"Bulloch County","504","1.04%","93.68%","34",".97%","6.32%","538","1.03%"
"Burke County","218",".45%","94.78%","12",".34%","5.22%","230",".44%"
"Butts County","130",".27%","92.20%","11",".32%","7.80%","141",".27%"
"Calhoun County","23",".05%","85.19%","4",".11%","14.81%","27",".05%"
"Camden County","178",".37%","92.23%","15",".43%","7.77%","193",".37%"
"Candler County","111",".23%","93.28%","8",".23%","6.72%","119",".23%"
"Carroll County","586","1.21%","90.85%","59","1.69%","9.15%","645","1.24%"
"Catoosa County","327",".67%","91.09%","32",".92%","8.91%","359",".69%"
"Charlton County","68",".14%","87.18%","10",".29%","12.82%","78",".15%"
"Chatham County","1,839","3.79%","96.13%","74","2.12%","3.87%","1,913","3.68%"
"Chattahoochee County","20",".04%","100.00%","","","","20",".04%"
"Chattooga County","219",".45%","89.75%","25",".72%","10.25%","244",".47%"
"Cherokee County","549","1.13%","90.89%","55","1.58%","9.11%","604","1.16%"
"Clarke County","529","1.09%","92.48%","43","1.23%","7.52%","572","1.10%"
"Clay County","20",".04%","83.33%","4",".11%","16.67%","24",".05%"
"Clayton County","1,293","2.67%","93.36%","92","2.64%","6.64%","1,385","2.66%"
"Clinch County","41",".08%","89.13%","5",".14%","10.87%","46",".09%"
"Cobb County","2,466","5.08%","92.57%","198","5.67%","7.43%","2,664","5.12%"
"Coffee County","218",".45%","94.37%","13",".37%","5.63%","231",".44%"
"Colquitt County","220",".45%","96.49%","8",".23%","3.51%","228",".44%"
