"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","105",".21%","94.59%","6",".16%","5.41%","111",".21%"
"Atkinson","44",".09%","93.62%","3",".08%","6.38%","47",".09%"
"Bacon","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"Baker","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","353",".72%","94.39%","21",".57%","5.61%","374",".71%"
"Banks","58",".12%","87.88%","8",".22%","12.12%","66",".13%"
"Barrow","257",".52%","93.12%","19",".52%","6.88%","276",".52%"
"Bartow","570","1.16%","89.20%","69","1.87%","10.80%","639","1.21%"
"Ben Hill","259",".53%","93.17%","19",".52%","6.83%","278",".53%"
"0
Berrien","88",".18%","93.62%","6",".16%","6.38%","94",".18%"
"11
Bibb","1,026","2.09%","94.82%","56","1.52%","5.18%","1,082","2.05%"
"12
Bleckley","80",".16%","87.91%","11",".30%","12.09%","91",".17%"
"13
Brantley","59",".12%","92.19%","5",".14%","7.81%","64",".12%"
"14
Brooks","57",".12%","95.00%","3",".08%","5.00%","60",".11%"
"15
Bryan","95",".19%","94.06%","6",".16%","5.94%","101",".19%"
"16
Bulloch","471",".96%","92.72%","37","1.00%","7.28%","508",".96%"
"17
Burke","213",".43%","95.09%","11",".30%","4.91%","224",".43%"
"18
Butts","139",".28%","95.21%","7",".19%","4.79%","146",".28%"
"19
Calhoun","32",".07%","91.43%","3",".08%","8.57%","35",".07%"
"20
Camden","144",".29%","94.74%","8",".22%","5.26%","152",".29%"
"21
Candler","86",".18%","89.58%","10",".27%","10.42%","96",".18%"
"22
Carroll","565","1.15%","90.54%","59","1.60%","9.46%","624","1.18%"
"23
Catoosa","277",".57%","89.07%","34",".92%","10.93%","311",".59%"
"24
Charlton","62",".13%","95.38%","3",".08%","4.62%","65",".12%"
"25
Chatham","2,407","4.91%","94.73%","134","3.63%","5.27%","2,541","4.82%"
"26
Chattahoochee","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"27
Chattooga","232",".47%","90.27%","25",".68%","9.73%","257",".49%"
"28
Cherokee","533","1.09%","89.58%","62","1.68%","10.42%","595","1.13%"
"29
Clarke","403",".82%","94.60%","23",".62%","5.40%","426",".81%"
"30
Clay","27",".06%","90.00%","3",".08%","10.00%","30",".06%"
"31
Clayton","1,492","3.05%","93.02%","112","3.04%","6.98%","1,604","3.04%"
"32
Clinch","47",".10%","95.92%","2",".05%","4.08%","49",".09%"
"33
Cobb","2,735","5.58%","90.47%","288","7.81%","9.53%","3,023","5.74%"
"34
Coffee","239",".49%","93.73%","16",".43%","6.27%","255",".48%"
"35
Colquitt","335",".68%","93.84%","22",".60%","6.16%","357",".68%"
"36
Columbia","291",".59%","90.94%","29",".79%","9.06%","320",".61%"
"37
Cook","135",".28%","94.41%","8",".22%","5.59%","143",".27%"
"38
Coweta","540","1.10%","92.62%","43","1.17%","7.38%","583","1.11%"
