"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","175",".34%","93.09%","13",".33%","6.91%","188",".34%"
"001
Appling County","116",".23%","95.87%","5",".13%","4.13%","121",".22%"
"002
Atkinson County","59",".12%","88.06%","8",".20%","11.94%","67",".12%"
"003
Bacon County","78",".15%","90.70%","8",".20%","9.30%","86",".16%"
"004
Baker County","14",".03%","100.00%","","","","14",".03%"
"005
Baldwin County","302",".59%","92.92%","23",".59%","7.08%","325",".59%"
"006
Banks County","72",".14%","92.31%","6",".15%","7.69%","78",".14%"
"007
Barrow County","347",".68%","90.84%","35",".89%","9.16%","382",".70%"
"008
Bartow County","626","1.23%","87.92%","86","2.20%","12.08%","712","1.30%"
"009
Ben Hill County","261",".51%","93.21%","19",".49%","6.79%","280",".51%"
"010
Berrien County","87",".17%","97.75%","2",".05%","2.25%","89",".16%"
"011
Bibb County","1,116","2.20%","93.47%","78","1.99%","6.53%","1,194","2.18%"
"012
Bleckley County","70",".14%","90.91%","7",".18%","9.09%","77",".14%"
"013
Brantley County","79",".16%","86.81%","12",".31%","13.19%","91",".17%"
"014
Brooks County","55",".11%","96.49%","2",".05%","3.51%","57",".10%"
"015
Bryan County","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"016
Bulloch County","524","1.03%","93.24%","38",".97%","6.76%","562","1.03%"
"017
Burke County","236",".46%","97.12%","7",".18%","2.88%","243",".44%"
"018
Butts County","114",".22%","94.21%","7",".18%","5.79%","121",".22%"
"019
Calhoun County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"020
Camden County","213",".42%","93.83%","14",".36%","6.17%","227",".41%"
"021
Candler County","112",".22%","93.33%","8",".20%","6.67%","120",".22%"
"022
Carroll County","641","1.26%","92.63%","51","1.30%","7.37%","692","1.26%"
"023
Catoosa County","381",".75%","89.44%","45","1.15%","10.56%","426",".78%"
"024
Charlton County","61",".12%","89.71%","7",".18%","10.29%","68",".12%"
"025
Chatham County","1,871","3.68%","95.17%","95","2.43%","4.83%","1,966","3.59%"
"026
Chattahoochee County","27",".05%","100.00%","","","","27",".05%"
"027
Chattooga County","214",".42%","85.94%","35",".89%","14.06%","249",".46%"
"028
Cherokee County","553","1.09%","91.86%","49","1.25%","8.14%","602","1.10%"
"029
Clarke County","568","1.12%","93.57%","39","1.00%","6.43%","607","1.11%"
"030
Clay County","28",".06%","87.50%","4",".10%","12.50%","32",".06%"
"031
Clayton County","1,373","2.70%","92.46%","112","2.86%","7.54%","1,485","2.71%"
"032
Clinch County","43",".08%","86.00%","7",".18%","14.00%","50",".09%"
"033
Cobb County","2,528","4.98%","92.09%","217","5.55%","7.91%","2,745","5.02%"
"034
Coffee County","228",".45%","94.21%","14",".36%","5.79%","242",".44%"
"035
Colquitt County","212",".42%","94.64%","12",".31%","5.36%","224",".41%"
"036
Columbia County","439",".86%","91.84%","39","1.00%","8.16%","478",".87%"
"037
Cook County","120",".24%","93.02%","9",".23%","6.98%","129",".24%"
