"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","182",".40%","93.81%","12",".36%","6.19%","194",".40%"
"001
Appling County","102",".22%","97.14%","3",".09%","2.86%","105",".22%"
"002
Atkinson County","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"003
Bacon County","67",".15%","94.37%","4",".12%","5.63%","71",".15%"
"004
Baker County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"005
Baldwin County","267",".59%","91.75%","24",".71%","8.25%","291",".60%"
"006
Banks County","49",".11%","90.74%","5",".15%","9.26%","54",".11%"
"007
Barrow County","358",".79%","90.63%","37","1.10%","9.37%","395",".81%"
"008
Bartow County","591","1.30%","87.95%","81","2.41%","12.05%","672","1.38%"
"009
Ben Hill County","254",".56%","92.03%","22",".65%","7.97%","276",".57%"
"010
Berrien County","102",".22%","94.44%","6",".18%","5.56%","108",".22%"
"011
Bibb County","954","2.10%","95.59%","44","1.31%","4.41%","998","2.05%"
"012
Bleckley County","61",".13%","95.31%","3",".09%","4.69%","64",".13%"
"013
Brantley County","76",".17%","88.37%","10",".30%","11.63%","86",".18%"
"014
Brooks County","47",".10%","97.92%","1",".03%","2.08%","48",".10%"
"015
Bryan County","48",".11%","96.00%","2",".06%","4.00%","50",".10%"
"016
Bulloch County","479","1.05%","93.01%","36","1.07%","6.99%","515","1.06%"
"017
Burke County","209",".46%","96.31%","8",".24%","3.69%","217",".44%"
"018
Butts County","147",".32%","93.04%","11",".33%","6.96%","158",".32%"
"019
Calhoun County","27",".06%","87.10%","4",".12%","12.90%","31",".06%"
"020
Camden County","183",".40%","94.33%","11",".33%","5.67%","194",".40%"
"021
Candler County","79",".17%","92.94%","6",".18%","7.06%","85",".17%"
"022
Carroll County","641","1.41%","93.58%","44","1.31%","6.42%","685","1.40%"
"023
Catoosa County","358",".79%","90.63%","37","1.10%","9.37%","395",".81%"
"024
Charlton County","68",".15%","88.31%","9",".27%","11.69%","77",".16%"
"025
Chatham County","1,529","3.37%","95.92%","65","1.93%","4.08%","1,594","3.27%"
"026
Chattahoochee County","15",".03%","100.00%","","","","15",".03%"
"027
Chattooga County","163",".36%","91.06%","16",".48%","8.94%","179",".37%"
"028
Cherokee County","576","1.27%","92.60%","46","1.37%","7.40%","622","1.27%"
"029
Clarke County","475","1.05%","95.19%","24",".71%","4.81%","499","1.02%"
"030
Clay County","13",".03%","81.25%","3",".09%","18.75%","16",".03%"
"031
Clayton County","1,103","2.43%","93.71%","74","2.20%","6.29%","1,177","2.41%"
"032
Clinch County","40",".09%","93.02%","3",".09%","6.98%","43",".09%"
"033
Cobb County","2,097","4.62%","92.87%","161","4.78%","7.13%","2,258","4.63%"
"034
Coffee County","297",".65%","95.19%","15",".45%","4.81%","312",".64%"
"035
Colquitt County","243",".54%","94.19%","15",".45%","5.81%","258",".53%"
"036
Columbia County","382",".84%","89.88%","43","1.28%","10.12%","425",".87%"
"037
Cook County","111",".24%","91.74%","10",".30%","8.26%","121",".25%"
