"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","152",".32%","95.60%","7",".21%","4.40%","159",".32%"
"116
Pulaski","85",".18%","88.54%","11",".34%","11.46%","96",".19%"
"117
Putnam","124",".26%","95.38%","6",".18%","4.62%","130",".26%"
"118
Quitman","12",".03%","100.00%","","","","12",".02%"
"119
Rabun","67",".14%","89.33%","8",".24%","10.67%","75",".15%"
"120
Randolph","67",".14%","100.00%","","","","67",".13%"
"121
Richmond","1,853","3.95%","93.26%","134","4.09%","6.74%","1,987","3.96%"
"122
Rockdale","402",".86%","92.84%","31",".95%","7.16%","433",".86%"
"123
Schley","19",".04%","100.00%","","","","19",".04%"
"124
Screven","133",".28%","97.08%","4",".12%","2.92%","137",".27%"
"125
Seminole","72",".15%","92.31%","6",".18%","7.69%","78",".16%"
"126
Spalding","625","1.33%","89.93%","70","2.13%","10.07%","695","1.38%"
"127
Stephens","161",".34%","93.06%","12",".37%","6.94%","173",".34%"
"128
Stewart","32",".07%","94.12%","2",".06%","5.88%","34",".07%"
"129
Sumter","237",".51%","94.42%","14",".43%","5.58%","251",".50%"
"130
Talbot","40",".09%","93.02%","3",".09%","6.98%","43",".09%"
"131
Taliaferro","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"132
Tattnall","176",".38%","96.70%","6",".18%","3.30%","182",".36%"
"133
Taylor","75",".16%","94.94%","4",".12%","5.06%","79",".16%"
"134
Telfair","133",".28%","89.26%","16",".49%","10.74%","149",".30%"
"135
Terrell","83",".18%","98.81%","1",".03%","1.19%","84",".17%"
"136
Thomas","326",".70%","96.45%","12",".37%","3.55%","338",".67%"
"137
Tift","319",".68%","94.66%","18",".55%","5.34%","337",".67%"
"138
Toombs","282",".60%","92.76%","22",".67%","7.24%","304",".61%"
"139
Towns","29",".06%","93.55%","2",".06%","6.45%","31",".06%"
"140
Treutlen","61",".13%","92.42%","5",".15%","7.58%","66",".13%"
"141
Troup","657","1.40%","92.15%","56","1.71%","7.85%","713","1.42%"
"142
Turner","75",".16%","94.94%","4",".12%","5.06%","79",".16%"
"143
Twiggs","44",".09%","93.62%","3",".09%","6.38%","47",".09%"
"144
Union","44",".09%","95.65%","2",".06%","4.35%","46",".09%"
"145
Upson","208",".44%","89.66%","24",".73%","10.34%","232",".46%"
"146
Walker","381",".81%","89.86%","43","1.31%","10.14%","424",".84%"
"147
Walton","322",".69%","95.55%","15",".46%","4.45%","337",".67%"
"148
Ware","346",".74%","94.02%","22",".67%","5.98%","368",".73%"
"149
Warren","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"150
Washington","112",".24%","95.73%","5",".15%","4.27%","117",".23%"
"151
Wayne","153",".33%","91.62%","14",".43%","8.38%","167",".33%"
"152
Webster","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
