"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"108   Oconee County","55","0.11%","91.67%","5","0.12%","8.33%","60","0.11%"
"109   Oglethorpe County","56","0.11%","96.55%","2","0.05%","3.45%","58","0.11%"
"110   Paulding County","279","0.57%","90.58%","29","0.71%","9.42%","308","0.58%"
"111   Peach County","67","0.14%","97.1%","2","0.05%","2.9%","69","0.13%"
"112   Pickens County","94","0.19%","81.74%","21","0.52%","18.26%","115","0.22%"
"113   Pierce County","115","0.23%","92.0%","10","0.25%","8.0%","125","0.23%"
"114   Pike County","32","0.07%","86.49%","5","0.12%","13.51%","37","0.07%"
"115   Polk County","184","0.37%","92.0%","16","0.39%","8.0%","200","0.38%"
"116   Pulaski County","49","0.1%","92.45%","4","0.1%","7.55%","53","0.1%"
"117   Putnam County","135","0.27%","93.1%","10","0.25%","6.9%","145","0.27%"
"118   Quitman County","9","0.02%","100.0%","","","","9","0.02%"
"119   Rabun County","54","0.11%","87.1%","8","0.2%","12.9%","62","0.12%"
"120   Randolph County","38","0.08%","95.0%","2","0.05%","5.0%","40","0.08%"
"121   Richmond County","1,708","3.48%","93.95%","110","2.7%","6.05%","1,818","3.42%"
"122   Rockdale County","405","0.82%","92.68%","32","0.79%","7.32%","437","0.82%"
"123   Schley County","19","0.04%","90.48%","2","0.05%","9.52%","21","0.04%"
"124   Screven County","82","0.17%","90.11%","9","0.22%","9.89%","91","0.17%"
"125   Seminole County","67","0.14%","90.54%","7","0.17%","9.46%","74","0.14%"
"126   Spalding County","516","1.05%","88.66%","66","1.62%","11.34%","582","1.09%"
"127   Stephens County","129","0.26%","92.81%","10","0.25%","7.19%","139","0.26%"
"128   Stewart County","26","0.05%","96.3%","1","0.02%","3.7%","27","0.05%"
"129   Sumter County","213","0.43%","94.25%","13","0.32%","5.75%","226","0.42%"
"130   Talbot County","26","0.05%","92.86%","2","0.05%","7.14%","28","0.05%"
"131   Taliaferro County","21","0.04%","87.5%","3","0.07%","12.5%","24","0.05%"
"132   Tattnall County","236","0.48%","89.06%","29","0.71%","10.94%","265","0.5%"
"133   Taylor County","45","0.09%","91.84%","4","0.1%","8.16%","49","0.09%"
"134   Telfair County","117","0.24%","89.31%","14","0.34%","10.69%","131","0.25%"
