"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","96",".19%","95.05%","5",".14%","4.95%","101",".19%"
"Atkinson","44",".09%","93.62%","3",".09%","6.38%","47",".09%"
"Bacon","60",".12%","96.77%","2",".06%","3.23%","62",".11%"
"Baker","8",".02%","100.00%","","","","8",".01%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","355",".70%","94.92%","19",".54%","5.08%","374",".69%"
"Banks","67",".13%","91.78%","6",".17%","8.22%","73",".13%"
"Barrow","276",".54%","93.24%","20",".57%","6.76%","296",".55%"
"Bartow","615","1.21%","88.62%","79","2.24%","11.38%","694","1.28%"
"Ben Hill","266",".52%","92.68%","21",".60%","7.32%","287",".53%"
"Berrien","92",".18%","87.62%","13",".37%","12.38%","105",".19%"
"Bibb","1,077","2.12%","95.48%","51","1.45%","4.52%","1,128","2.08%"
"Bleckley","79",".16%","85.87%","13",".37%","14.13%","92",".17%"
"Brantley","52",".10%","86.67%","8",".23%","13.33%","60",".11%"
"Brooks","68",".13%","97.14%","2",".06%","2.86%","70",".13%"
"Bryan","103",".20%","95.37%","5",".14%","4.63%","108",".20%"
"Bulloch","482",".95%","94.32%","29",".82%","5.68%","511",".94%"
"Burke","216",".43%","95.58%","10",".28%","4.42%","226",".42%"
"Butts","144",".28%","94.74%","8",".23%","5.26%","152",".28%"
"Calhoun","44",".09%","93.62%","3",".09%","6.38%","47",".09%"
"Camden","143",".28%","94.08%","9",".26%","5.92%","152",".28%"
"Candler","93",".18%","93.00%","7",".20%","7.00%","100",".18%"
"Carroll","587","1.16%","92.30%","49","1.39%","7.70%","636","1.17%"
"Catoosa","288",".57%","89.72%","33",".94%","10.28%","321",".59%"
"Charlton","65",".13%","97.01%","2",".06%","2.99%","67",".12%"
"Chatham","2,450","4.83%","94.59%","140","3.98%","5.41%","2,590","4.78%"
"Chattahoochee","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Chattooga","243",".48%","89.34%","29",".82%","10.66%","272",".50%"
"Cherokee","574","1.13%","90.11%","63","1.79%","9.89%","637","1.18%"
"Clarke","437",".86%","94.59%","25",".71%","5.41%","462",".85%"
"Clay","29",".06%","90.63%","3",".09%","9.38%","32",".06%"
"Clayton","1,588","3.13%","93.03%","119","3.38%","6.97%","1,707","3.15%"
"Clinch","49",".10%","98.00%","1",".03%","2.00%","50",".09%"
"Cobb","2,888","5.70%","91.95%","253","7.18%","8.05%","3,141","5.79%"
"Coffee","227",".45%","93.42%","16",".45%","6.58%","243",".45%"
"Colquitt","341",".67%","94.20%","21",".60%","5.80%","362",".67%"
"Columbia","318",".63%","91.12%","31",".88%","8.88%","349",".64%"
"Cook","142",".28%","92.81%","11",".31%","7.19%","153",".28%"
"Coweta","565","1.11%","93.23%","41","1.16%","6.77%","606","1.12%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","24",".05%","85.71%","4",".11%","14.29%","28",".05%"
"Crisp","310",".61%","95.09%","16",".45%","4.91%","326",".60%"
"Dade","145",".29%","96.67%","5",".14%","3.33%","150",".28%"
"Dawson","94",".19%","90.38%","10",".28%","9.62%","104",".19%"
"Decatur","321",".63%","93.04%","24",".68%","6.96%","345",".64%"
"Dekalb","3,016","5.95%","95.35%","147","4.17%","4.65%","3,163","5.84%"
"Dodge","149",".29%","90.85%","15",".43%","9.15%","164",".30%"
"Dooly","108",".21%","94.74%","6",".17%","5.26%","114",".21%"
"Dougherty","1,036","2.04%","95.31%","51","1.45%","4.69%","1,087","2.01%"
"Douglas","1,090","2.15%","91.52%","101","2.87%","8.48%","1,191","2.20%"
"Early","81",".16%","98.78%","1",".03%","1.22%","82",".15%"
"Echols","11",".02%","100.00%","","","","11",".02%"
"Effingham","146",".29%","91.25%","14",".40%","8.75%","160",".30%"
"Elbert","154",".30%","94.48%","9",".26%","5.52%","163",".30%"
"Emanuel","165",".33%","97.06%","5",".14%","2.94%","170",".31%"
"Evans","93",".18%","98.94%","1",".03%","1.06%","94",".17%"
"Fannin","111",".22%","92.50%","9",".26%","7.50%","120",".22%"
"Fayette","331",".65%","90.93%","33",".94%","9.07%","364",".67%"
"Floyd","881","1.74%","91.01%","87","2.47%","8.99%","968","1.79%"
"Forsyth","308",".61%","87.75%","43","1.22%","12.25%","351",".65%"
"Franklin","174",".34%","92.06%","15",".43%","7.94%","189",".35%"
"Fulton","4,252","8.39%","96.42%","158","4.49%","3.58%","4,410","8.14%"
