"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","181",".36%","94.76%","10",".26%","5.24%","191",".35%"
"Appling County","105",".21%","96.33%","4",".10%","3.67%","109",".20%"
"Atkinson County","53",".10%","94.64%","3",".08%","5.36%","56",".10%"
"Bacon County","67",".13%","91.78%","6",".16%","8.22%","73",".13%"
"Baker County","8",".02%","100.00%","","","","8",".01%"
"Baldwin County","309",".61%","91.96%","27",".70%","8.04%","336",".62%"
"Banks County","62",".12%","91.18%","6",".16%","8.82%","68",".12%"
"Barrow County","303",".60%","89.38%","36",".94%","10.62%","339",".62%"
"Bartow County","666","1.31%","87.06%","99","2.58%","12.94%","765","1.40%"
"Ben Hill County","264",".52%","92.63%","21",".55%","7.37%","285",".52%"
"Berrien County","90",".18%","98.90%","1",".03%","1.10%","91",".17%"
"Bibb County","1,146","2.26%","93.63%","78","2.03%","6.37%","1,224","2.24%"
"Bleckley County","71",".14%","93.42%","5",".13%","6.58%","76",".14%"
"Brantley County","65",".13%","91.55%","6",".16%","8.45%","71",".13%"
"Brooks County","58",".11%","96.67%","2",".05%","3.33%","60",".11%"
"Bryan County","72",".14%","98.63%","1",".03%","1.37%","73",".13%"
"Bulloch County","558","1.10%","94.26%","34",".89%","5.74%","592","1.08%"
"Burke County","213",".42%","95.52%","10",".26%","4.48%","223",".41%"
"Butts County","102",".20%","94.44%","6",".16%","5.56%","108",".20%"
"Calhoun County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Camden County","186",".37%","94.42%","11",".29%","5.58%","197",".36%"
"Candler County","114",".22%","91.94%","10",".26%","8.06%","124",".23%"
"Carroll County","618","1.22%","91.69%","56","1.46%","8.31%","674","1.24%"
"Catoosa County","363",".72%","90.75%","37",".96%","9.25%","400",".73%"
"Charlton County","61",".12%","91.04%","6",".16%","8.96%","67",".12%"
"Chatham County","1,953","3.85%","95.59%","90","2.35%","4.41%","2,043","3.74%"
"Chattahoochee County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Chattooga County","247",".49%","89.49%","29",".76%","10.51%","276",".51%"
"Cherokee County","545","1.07%","88.62%","70","1.83%","11.38%","615","1.13%"
"Clarke County","523","1.03%","93.39%","37",".96%","6.61%","560","1.03%"
"Clay County","17",".03%","80.95%","4",".10%","19.05%","21",".04%"
"Clayton County","1,402","2.76%","93.59%","96","2.50%","6.41%","1,498","2.75%"
"Clinch County","44",".09%","97.78%","1",".03%","2.22%","45",".08%"
"Cobb County","2,488","4.90%","92.42%","204","5.32%","7.58%","2,692","4.93%"
"Coffee County","250",".49%","93.63%","17",".44%","6.37%","267",".49%"
"Colquitt County","202",".40%","96.19%","8",".21%","3.81%","210",".38%"
"Columbia County","433",".85%","91.93%","38",".99%","8.07%","471",".86%"
"Cook County","119",".23%","92.25%","10",".26%","7.75%","129",".24%"
"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","632","1.25%","92.67%","50","1.30%","7.33%","682","1.25%"
"Crawford County","24",".05%","85.71%","4",".10%","14.29%","28",".05%"
