"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","181",".36%","94.76%","10",".26%","5.24%","191",".35%"
"Appling County","112",".22%","96.55%","4",".10%","3.45%","116",".21%"
"Atkinson County","47",".09%","92.16%","4",".10%","7.84%","51",".09%"
"Bacon County","66",".13%","89.19%","8",".21%","10.81%","74",".14%"
"Baker County","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Baldwin County","291",".57%","92.97%","22",".58%","7.03%","313",".57%"
"Banks County","57",".11%","93.44%","4",".10%","6.56%","61",".11%"
"Barrow County","289",".57%","89.47%","34",".89%","10.53%","323",".59%"
"Bartow County","664","1.31%","87.25%","97","2.54%","12.75%","761","1.39%"
"Ben Hill County","263",".52%","92.93%","20",".52%","7.07%","283",".52%"
"Berrien County","90",".18%","98.90%","1",".03%","1.10%","91",".17%"
"Bibb County","1,149","2.26%","93.19%","84","2.20%","6.81%","1,233","2.26%"
"Bleckley County","70",".14%","93.33%","5",".13%","6.67%","75",".14%"
"Brantley County","53",".10%","86.89%","8",".21%","13.11%","61",".11%"
"Brooks County","62",".12%","95.38%","3",".08%","4.62%","65",".12%"
"Bryan County","77",".15%","97.47%","2",".05%","2.53%","79",".14%"
"Bulloch County","540","1.06%","94.24%","33",".87%","5.76%","573","1.05%"
"Burke County","203",".40%","95.75%","9",".24%","4.25%","212",".39%"
"Butts County","112",".22%","95.73%","5",".13%","4.27%","117",".21%"
"Calhoun County","27",".05%","96.43%","1",".03%","3.57%","28",".05%"
"Camden County","187",".37%","95.90%","8",".21%","4.10%","195",".36%"
"Candler County","113",".22%","92.62%","9",".24%","7.38%","122",".22%"
"Carroll County","603","1.19%","92.77%","47","1.23%","7.23%","650","1.19%"
"Catoosa County","362",".71%","89.83%","41","1.08%","10.17%","403",".74%"
"Charlton County","59",".12%","92.19%","5",".13%","7.81%","64",".12%"
"Chatham County","1,979","3.90%","95.93%","84","2.20%","4.07%","2,063","3.78%"
"Chattahoochee County","27",".05%","96.43%","1",".03%","3.57%","28",".05%"
"Chattooga County","261",".51%","90.00%","29",".76%","10.00%","290",".53%"
"Cherokee County","526","1.04%","88.40%","69","1.81%","11.60%","595","1.09%"
"Clarke County","534","1.05%","94.01%","34",".89%","5.99%","568","1.04%"
"Clay County","20",".04%","80.00%","5",".13%","20.00%","25",".05%"
"Clayton County","1,452","2.86%","94.47%","85","2.23%","5.53%","1,537","2.82%"
"Clinch County","46",".09%","95.83%","2",".05%","4.17%","48",".09%"
"Cobb County","2,511","4.95%","91.44%","235","6.16%","8.56%","2,746","5.03%"
"Coffee County","250",".49%","92.94%","19",".50%","7.06%","269",".49%"
"Colquitt County","211",".42%","96.79%","7",".18%","3.21%","218",".40%"
"Columbia County","410",".81%","90.71%","42","1.10%","9.29%","452",".83%"
"Cook County","127",".25%","94.78%","7",".18%","5.22%","134",".25%"
"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","640","1.26%","93.57%","44","1.15%","6.43%","684","1.25%"
"Crawford County","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Crisp County","296",".58%","93.08%","22",".58%","6.92%","318",".58%"
"Dade County","103",".20%","92.79%","8",".21%","7.21%","111",".20%"
"Dawson County","106",".21%","86.18%","17",".45%","13.82%","123",".23%"
"Decatur County","222",".44%","96.10%","9",".24%","3.90%","231",".42%"
"Dekalb County","3,134","6.18%","95.40%","151","3.96%","4.60%","3,285","6.02%"
"Dodge County","167",".33%","92.78%","13",".34%","7.22%","180",".33%"
"Dooly County","102",".20%","92.73%","8",".21%","7.27%","110",".20%"
"Dougherty County","968","1.91%","94.35%","58","1.52%","5.65%","1,026","1.88%"
"Douglas County","1,109","2.19%","90.02%","123","3.23%","9.98%","1,232","2.26%"
