"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","667","1.54%","91.62%","61","2.09%","8.38%","728","1.57%"
"077
Irwin County","56",".13%","100.00%","","","","56",".12%"
"078
Jackson County","245",".56%","91.76%","22",".75%","8.24%","267",".58%"
"079
Jasper County","52",".12%","96.30%","2",".07%","3.70%","54",".12%"
"080
Jeff Davis County","80",".18%","95.24%","4",".14%","4.76%","84",".18%"
"081
Jefferson County","142",".33%","94.67%","8",".27%","5.33%","150",".32%"
"082
Jenkins County","63",".15%","92.65%","5",".17%","7.35%","68",".15%"
"083
Johnson County","37",".09%","97.37%","1",".03%","2.63%","38",".08%"
"084
Jones County","171",".39%","86.36%","27",".92%","13.64%","198",".43%"
"085
Lamar County","72",".17%","90.00%","8",".27%","10.00%","80",".17%"
"086
Lanier County","42",".10%","87.50%","6",".21%","12.50%","48",".10%"
"087
Laurens County","264",".61%","92.96%","20",".68%","7.04%","284",".61%"
"088
Lee County","57",".13%","87.69%","8",".27%","12.31%","65",".14%"
"089
Liberty County","177",".41%","94.15%","11",".38%","5.85%","188",".41%"
"090
Lincoln County","30",".07%","90.91%","3",".10%","9.09%","33",".07%"
"091
Long County","58",".13%","93.55%","4",".14%","6.45%","62",".13%"
"092
Lowndes County","425",".98%","95.72%","19",".65%","4.28%","444",".96%"
"093
Lumpkin County","72",".17%","93.51%","5",".17%","6.49%","77",".17%"
"094
Macon County","43",".10%","95.56%","2",".07%","4.44%","45",".10%"
"095
Madison County","121",".28%","90.98%","12",".41%","9.02%","133",".29%"
"096
Marion County","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"097
Mcduffie County","167",".38%","93.82%","11",".38%","6.18%","178",".38%"
"098
Mcintosh County","50",".12%","90.91%","5",".17%","9.09%","55",".12%"
"099
Meriwether County","141",".33%","92.16%","12",".41%","7.84%","153",".33%"
"100
Miller County","31",".07%","100.00%","","","","31",".07%"
"101
Mitchell County","125",".29%","93.28%","9",".31%","6.72%","134",".29%"
"102
Monroe County","145",".33%","91.19%","14",".48%","8.81%","159",".34%"
"103
Montgomery County","24",".06%","88.89%","3",".10%","11.11%","27",".06%"
"104
Morgan County","118",".27%","90.08%","13",".44%","9.92%","131",".28%"
"105
Murray County","178",".41%","87.68%","25",".86%","12.32%","203",".44%"
"106
Muscogee County","1,004","2.31%","95.62%","46","1.57%","4.38%","1,050","2.27%"
"107
Newton County","594","1.37%","92.09%","51","1.75%","7.91%","645","1.39%"
"108
Oconee County","42",".10%","100.00%","","","","42",".09%"
"109
Oglethorpe County","63",".15%","98.44%","1",".03%","1.56%","64",".14%"
"110
Paulding County","211",".49%","93.78%","14",".48%","6.22%","225",".49%"
"111
Peach County","71",".16%","94.67%","4",".14%","5.33%","75",".16%"
"112
Pickens County","86",".20%","92.47%","7",".24%","7.53%","93",".20%"
"113
Pierce County","106",".24%","90.60%","11",".38%","9.40%","117",".25%"
