"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"40
Crisp","285",".58%","95.64%","13",".35%","4.36%","298",".57%"
"41
Dade","136",".28%","95.10%","7",".19%","4.90%","143",".27%"
"42
Dawson","94",".19%","90.38%","10",".27%","9.62%","104",".20%"
"43
Decatur","312",".64%","93.41%","22",".60%","6.59%","334",".63%"
"44
Dekalb","2,841","5.80%","94.70%","159","4.31%","5.30%","3,000","5.69%"
"45
Dodge","166",".34%","92.22%","14",".38%","7.78%","180",".34%"
"46
Dooly","112",".23%","94.92%","6",".16%","5.08%","118",".22%"
"47
Dougherty","957","1.95%","94.47%","56","1.52%","5.53%","1,013","1.92%"
"48
Douglas","1,084","2.21%","90.33%","116","3.15%","9.67%","1,200","2.28%"
"49
Early","80",".16%","98.77%","1",".03%","1.23%","81",".15%"
"50
Echols","8",".02%","100.00%","","","","8",".02%"
"51
Effingham","144",".29%","94.12%","9",".24%","5.88%","153",".29%"
"52
Elbert","147",".30%","97.35%","4",".11%","2.65%","151",".29%"
"53
Emanuel","164",".33%","97.04%","5",".14%","2.96%","169",".32%"
"54
Evans","96",".20%","97.96%","2",".05%","2.04%","98",".19%"
"55
Fannin","99",".20%","92.52%","8",".22%","7.48%","107",".20%"
"56
Fayette","366",".75%","88.83%","46","1.25%","11.17%","412",".78%"
"57
Floyd","844","1.72%","89.50%","99","2.68%","10.50%","943","1.79%"
"58
Forsyth","280",".57%","86.42%","44","1.19%","13.58%","324",".61%"
"59
Franklin","154",".31%","91.12%","15",".41%","8.88%","169",".32%"
"60
Fulton","4,400","8.98%","96.45%","162","4.39%","3.55%","4,562","8.66%"
"61
Gilmer","105",".21%","88.98%","13",".35%","11.02%","118",".22%"
"62
Glascock","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"63
Glynn","408",".83%","95.10%","21",".57%","4.90%","429",".81%"
"64
Gordon","272",".56%","89.77%","31",".84%","10.23%","303",".58%"
"65
Grady","237",".48%","95.18%","12",".33%","4.82%","249",".47%"
"66
Greene","134",".27%","95.71%","6",".16%","4.29%","140",".27%"
"67
Gwinnett","1,881","3.84%","92.34%","156","4.23%","7.66%","2,037","3.87%"
"68
Habersham","122",".25%","95.31%","6",".16%","4.69%","128",".24%"
"69
Hall","748","1.53%","91.89%","66","1.79%","8.11%","814","1.55%"
"70
Hancock","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"71
Haralson","89",".18%","95.70%","4",".11%","4.30%","93",".18%"
"72
Harris","128",".26%","96.24%","5",".14%","3.76%","133",".25%"
"73
Hart","122",".25%","95.31%","6",".16%","4.69%","128",".24%"
"74
Heard","65",".13%","83.33%","13",".35%","16.67%","78",".15%"
"75
Henry","542","1.11%","88.27%","72","1.95%","11.73%","614","1.17%"
"76
Houston","638","1.30%","93.14%","47","1.27%","6.86%","685","1.30%"
