"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","207",".45%","94.09%","13",".37%","5.91%","220",".45%"
"Appling County","108",".24%","96.43%","4",".11%","3.57%","112",".23%"
"Atkinson County","50",".11%","96.15%","2",".06%","3.85%","52",".11%"
"Bacon County","70",".15%","94.59%","4",".11%","5.41%","74",".15%"
"Baker County","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"Baldwin County","280",".61%","92.41%","23",".66%","7.59%","303",".61%"
"Banks County","50",".11%","89.29%","6",".17%","10.71%","56",".11%"
"Barrow County","361",".79%","90.25%","39","1.11%","9.75%","400",".81%"
"Bartow County","565","1.23%","87.60%","80","2.29%","12.40%","645","1.31%"
"Ben Hill County","251",".55%","92.62%","20",".57%","7.38%","271",".55%"
"Berrien County","104",".23%","94.55%","6",".17%","5.45%","110",".22%"
"Bibb County","946","2.07%","95.08%","49","1.40%","4.92%","995","2.02%"
"Bleckley County","60",".13%","92.31%","5",".14%","7.69%","65",".13%"
"Brantley County","80",".17%","86.02%","13",".37%","13.98%","93",".19%"
"Brooks County","49",".11%","98.00%","1",".03%","2.00%","50",".10%"
"Bryan County","57",".12%","96.61%","2",".06%","3.39%","59",".12%"
"Bulloch County","495","1.08%","93.05%","37","1.06%","6.95%","532","1.08%"
"Burke County","215",".47%","96.41%","8",".23%","3.59%","223",".45%"
"Butts County","137",".30%","93.20%","10",".29%","6.80%","147",".30%"
"Calhoun County","26",".06%","86.67%","4",".11%","13.33%","30",".06%"
"Camden County","186",".41%","92.54%","15",".43%","7.46%","201",".41%"
"Candler County","82",".18%","92.13%","7",".20%","7.87%","89",".18%"
"Carroll County","639","1.40%","93.28%","46","1.31%","6.72%","685","1.39%"
"Catoosa County","354",".77%","88.28%","47","1.34%","11.72%","401",".81%"
"Charlton County","66",".14%","89.19%","8",".23%","10.81%","74",".15%"
"Chatham County","1,507","3.29%","95.80%","66","1.89%","4.20%","1,573","3.19%"
"Chattahoochee County","15",".03%","100.00%","","","","15",".03%"
"Chattooga County","158",".35%","91.86%","14",".40%","8.14%","172",".35%"
"Cherokee County","567","1.24%","92.80%","44","1.26%","7.20%","611","1.24%"
"Clarke County","468","1.02%","95.32%","23",".66%","4.68%","491","1.00%"
"Clay County","14",".03%","82.35%","3",".09%","17.65%","17",".03%"
"Clayton County","1,087","2.37%","93.47%","76","2.17%","6.53%","1,163","2.36%"
"Clinch County","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"Cobb County","2,144","4.68%","93.02%","161","4.60%","6.98%","2,305","4.68%"
"Coffee County","299",".65%","93.73%","20",".57%","6.27%","319",".65%"
"Colquitt County","235",".51%","94.38%","14",".40%","5.62%","249",".51%"
"Columbia County","404",".88%","89.78%","46","1.31%","10.22%","450",".91%"
"Cook County","110",".24%","91.67%","10",".29%","8.33%","120",".24%"
