"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","18",".04%","81.82%","4",".12%","18.18%","22",".04%"
"40
Crisp","277",".58%","93.58%","19",".55%","6.42%","296",".58%"
"41
Dade","137",".29%","91.95%","12",".35%","8.05%","149",".29%"
"42
Dawson","89",".19%","90.82%","9",".26%","9.18%","98",".19%"
"43
Decatur","287",".60%","93.79%","19",".55%","6.21%","306",".60%"
"44
Dekalb","2,983","6.28%","94.70%","167","4.87%","5.30%","3,150","6.19%"
"45
Dodge","161",".34%","94.15%","10",".29%","5.85%","171",".34%"
"46
Dooly","106",".22%","96.36%","4",".12%","3.64%","110",".22%"
"47
Dougherty","974","2.05%","93.65%","66","1.92%","6.35%","1,040","2.04%"
"48
Douglas","1,075","2.26%","90.56%","112","3.27%","9.44%","1,187","2.33%"
"49
Early","78",".16%","97.50%","2",".06%","2.50%","80",".16%"
"50
Echols","10",".02%","100.00%","","","","10",".02%"
"51
Effingham","172",".36%","90.05%","19",".55%","9.95%","191",".38%"
"52
Elbert","160",".34%","93.57%","11",".32%","6.43%","171",".34%"
"53
Emanuel","154",".32%","96.25%","6",".17%","3.75%","160",".31%"
"54
Evans","81",".17%","94.19%","5",".15%","5.81%","86",".17%"
"55
Fannin","115",".24%","93.50%","8",".23%","6.50%","123",".24%"
"56
Fayette","261",".55%","89.69%","30",".87%","10.31%","291",".57%"
"57
Floyd","787","1.66%","89.94%","88","2.57%","10.06%","875","1.72%"
"58
Forsyth","261",".55%","88.78%","33",".96%","11.22%","294",".58%"
"59
Franklin","129",".27%","90.85%","13",".38%","9.15%","142",".28%"
"60
Fulton","4,165","8.77%","96.19%","165","4.81%","3.81%","4,330","8.50%"
"61
Gilmer","124",".26%","88.57%","16",".47%","11.43%","140",".27%"
"62
Glascock","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"63
Glynn","446",".94%","95.91%","19",".55%","4.09%","465",".91%"
"64
Gordon","292",".61%","88.48%","38","1.11%","11.52%","330",".65%"
"65
Grady","221",".47%","92.86%","17",".50%","7.14%","238",".47%"
"66
Greene","96",".20%","93.20%","7",".20%","6.80%","103",".20%"
"67
Gwinnett","1,543","3.25%","91.85%","137","4.00%","8.15%","1,680","3.30%"
"68
Habersham","116",".24%","91.34%","11",".32%","8.66%","127",".25%"
"69
Hall","736","1.55%","92.35%","61","1.78%","7.65%","797","1.57%"
"70
Hancock","38",".08%","95.00%","2",".06%","5.00%","40",".08%"
"71
Haralson","83",".17%","94.32%","5",".15%","5.68%","88",".17%"
"72
Harris","101",".21%","96.19%","4",".12%","3.81%","105",".21%"
"73
Hart","106",".22%","97.25%","3",".09%","2.75%","109",".21%"
"74
Heard","56",".12%","88.89%","7",".20%","11.11%","63",".12%"
"75
Henry","517","1.09%","90.70%","53","1.55%","9.30%","570","1.12%"
"76
Houston","589","1.24%","92.32%","49","1.43%","7.68%","638","1.25%"
