"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","177",".35%","93.65%","12",".31%","6.35%","189",".35%"
"001
Appling County","113",".22%","96.58%","4",".10%","3.42%","117",".21%"
"002
Atkinson County","55",".11%","88.71%","7",".18%","11.29%","62",".11%"
"003
Bacon County","77",".15%","90.59%","8",".20%","9.41%","85",".16%"
"004
Baker County","14",".03%","100.00%","","","","14",".03%"
"005
Baldwin County","301",".59%","93.77%","20",".51%","6.23%","321",".59%"
"006
Banks County","74",".15%","90.24%","8",".20%","9.76%","82",".15%"
"007
Barrow County","338",".66%","90.86%","34",".87%","9.14%","372",".68%"
"008
Bartow County","635","1.25%","87.59%","90","2.30%","12.41%","725","1.32%"
"009
Ben Hill County","255",".50%","93.07%","19",".48%","6.93%","274",".50%"
"010
Berrien County","90",".18%","97.83%","2",".05%","2.17%","92",".17%"
"011
Bibb County","1,108","2.18%","93.58%","76","1.94%","6.42%","1,184","2.16%"
"012
Bleckley County","68",".13%","88.31%","9",".23%","11.69%","77",".14%"
"013
Brantley County","83",".16%","86.46%","13",".33%","13.54%","96",".18%"
"014
Brooks County","52",".10%","98.11%","1",".03%","1.89%","53",".10%"
"015
Bryan County","62",".12%","96.88%","2",".05%","3.13%","64",".12%"
"016
Bulloch County","521","1.02%","92.21%","44","1.12%","7.79%","565","1.03%"
"017
Burke County","226",".44%","95.36%","11",".28%","4.64%","237",".43%"
"018
Butts County","115",".23%","94.26%","7",".18%","5.74%","122",".22%"
"019
Calhoun County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"020
Camden County","212",".42%","94.22%","13",".33%","5.78%","225",".41%"
"021
Candler County","112",".22%","92.56%","9",".23%","7.44%","121",".22%"
"022
Carroll County","620","1.22%","91.45%","58","1.48%","8.55%","678","1.24%"
"023
Catoosa County","386",".76%","88.74%","49","1.25%","11.26%","435",".79%"
"024
Charlton County","62",".12%","91.18%","6",".15%","8.82%","68",".12%"
"025
Chatham County","1,876","3.69%","94.84%","102","2.60%","5.16%","1,978","3.61%"
"026
Chattahoochee County","26",".05%","100.00%","","","","26",".05%"
"027
Chattooga County","227",".45%","90.08%","25",".64%","9.92%","252",".46%"
"028
Cherokee County","560","1.10%","90.91%","56","1.43%","9.09%","616","1.12%"
"029
Clarke County","563","1.11%","93.06%","42","1.07%","6.94%","605","1.10%"
"030
Clay County","24",".05%","82.76%","5",".13%","17.24%","29",".05%"
"031
Clayton County","1,416","2.78%","92.37%","117","2.98%","7.63%","1,533","2.80%"
"032
Clinch County","50",".10%","89.29%","6",".15%","10.71%","56",".10%"
"033
Cobb County","2,498","4.91%","91.91%","220","5.61%","8.09%","2,718","4.96%"
"034
Coffee County","228",".45%","93.83%","15",".38%","6.17%","243",".44%"
"035
Colquitt County","206",".41%","94.06%","13",".33%","5.94%","219",".40%"
"036
Columbia County","428",".84%","91.45%","40","1.02%","8.55%","468",".85%"
"037
Cook County","120",".24%","92.31%","10",".26%","7.69%","130",".24%"
