"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","181",".35%","93.30%","13",".33%","6.70%","194",".35%"
"Appling County","113",".22%","96.58%","4",".10%","3.42%","117",".21%"
"Atkinson County","60",".12%","86.96%","9",".23%","13.04%","69",".13%"
"Bacon County","83",".16%","89.25%","10",".25%","10.75%","93",".17%"
"Baker County","13",".03%","86.67%","2",".05%","13.33%","15",".03%"
"Baldwin County","318",".62%","93.53%","22",".55%","6.47%","340",".62%"
"Banks County","75",".15%","92.59%","6",".15%","7.41%","81",".15%"
"Barrow County","362",".71%","91.88%","32",".80%","8.12%","394",".71%"
"Bartow County","620","1.21%","87.94%","85","2.13%","12.06%","705","1.28%"
"Ben Hill County","265",".52%","92.98%","20",".50%","7.02%","285",".52%"
"Berrien County","92",".18%","97.87%","2",".05%","2.13%","94",".17%"
"Bibb County","1,161","2.27%","94.31%","70","1.76%","5.69%","1,231","2.23%"
"Bleckley County","67",".13%","90.54%","7",".18%","9.46%","74",".13%"
"Brantley County","79",".15%","85.87%","13",".33%","14.13%","92",".17%"
"Brooks County","51",".10%","98.08%","1",".03%","1.92%","52",".09%"
"Bryan County","59",".12%","96.72%","2",".05%","3.28%","61",".11%"
"Bulloch County","522","1.02%","91.42%","49","1.23%","8.58%","571","1.04%"
"Burke County","236",".46%","96.33%","9",".23%","3.67%","245",".44%"
"Butts County","118",".23%","93.65%","8",".20%","6.35%","126",".23%"
"Calhoun County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Camden County","208",".41%","93.27%","15",".38%","6.73%","223",".40%"
"Candler County","112",".22%","93.33%","8",".20%","6.67%","120",".22%"
"Carroll County","642","1.26%","91.98%","56","1.41%","8.02%","698","1.27%"
"Catoosa County","375",".73%","90.58%","39",".98%","9.42%","414",".75%"
"Charlton County","54",".11%","88.52%","7",".18%","11.48%","61",".11%"
"Chatham County","1,905","3.73%","95.20%","96","2.41%","4.80%","2,001","3.63%"
"Chattahoochee County","27",".05%","100.00%","","","","27",".05%"
"Chattooga County","224",".44%","88.19%","30",".75%","11.81%","254",".46%"
"Cherokee County","570","1.11%","92.83%","44","1.10%","7.17%","614","1.11%"
"Clarke County","572","1.12%","93.01%","43","1.08%","6.99%","615","1.12%"
"Clay County","27",".05%","87.10%","4",".10%","12.90%","31",".06%"
"Clayton County","1,387","2.71%","93.09%","103","2.59%","6.91%","1,490","2.70%"
"Clinch County","48",".09%","88.89%","6",".15%","11.11%","54",".10%"
"Cobb County","2,548","4.98%","91.85%","226","5.67%","8.15%","2,774","5.03%"
"Coffee County","220",".43%","93.22%","16",".40%","6.78%","236",".43%"
"Colquitt County","219",".43%","96.05%","9",".23%","3.95%","228",".41%"
"Columbia County","438",".86%","90.87%","44","1.10%","9.13%","482",".87%"
"Cook County","121",".24%","93.80%","8",".20%","6.20%","129",".23%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","667","1.30%","92.00%","58","1.46%","8.00%","725","1.32%"
"Crawford County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Crisp County","313",".61%","94.56%","18",".45%","5.44%","331",".60%"
"Dade County","105",".21%","91.30%","10",".25%","8.70%","115",".21%"
"Dawson County","93",".18%","85.32%","16",".40%","14.68%","109",".20%"
"Decatur County","239",".47%","94.84%","13",".33%","5.16%","252",".46%"
"Dekalb County","3,018","5.90%","95.36%","147","3.69%","4.64%","3,165","5.74%"
"Dodge County","147",".29%","93.63%","10",".25%","6.37%","157",".28%"
"Dooly County","115",".22%","95.04%","6",".15%","4.96%","121",".22%"
"Dougherty County","841","1.65%","95.14%","43","1.08%","4.86%","884","1.60%"
"Douglas County","1,043","2.04%","90.38%","111","2.79%","9.62%","1,154","2.09%"
"Early County","90",".18%","95.74%","4",".10%","4.26%","94",".17%"
"Echols County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
