"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000 
Unknown","178",".40%","95.70%","8",".26%","4.30%","186",".40%"
"001 
Appling County","109",".25%","95.61%","5",".17%","4.39%","114",".24%"
"002 
Atkinson County","39",".09%","90.70%","4",".13%","9.30%","43",".09%"
"003 
Bacon County","68",".15%","95.77%","3",".10%","4.23%","71",".15%"
"004 
Baker County","13",".03%","86.67%","2",".07%","13.33%","15",".03%"
"005 
Baldwin County","276",".63%","92.62%","22",".73%","7.38%","298",".63%"
"006 
Banks County","56",".13%","91.80%","5",".17%","8.20%","61",".13%"
"007 
Barrow County","296",".67%","89.43%","35","1.16%","10.57%","331",".70%"
"008 
Bartow County","562","1.28%","89.63%","65","2.15%","10.37%","627","1.33%"
"009 
Ben Hill County","211",".48%","93.78%","14",".46%","6.22%","225",".48%"
"010 
Berrien County","97",".22%","97.00%","3",".10%","3.00%","100",".21%"
"011 
Bibb County","968","2.20%","94.90%","52","1.72%","5.10%","1,020","2.17%"
"012 
Bleckley County","54",".12%","91.53%","5",".17%","8.47%","59",".13%"
"013 
Brantley County","77",".17%","85.56%","13",".43%","14.44%","90",".19%"
"014 
Brooks County","42",".10%","100.00%","","","","42",".09%"
"015 
Bryan County","42",".10%","97.67%","1",".03%","2.33%","43",".09%"
"016 
Bulloch County","464","1.05%","93.74%","31","1.03%","6.26%","495","1.05%"
"017 
Burke County","218",".50%","96.46%","8",".26%","3.54%","226",".48%"
"018 
Butts County","118",".27%","92.19%","10",".33%","7.81%","128",".27%"
"019 
Calhoun County","24",".05%","85.71%","4",".13%","14.29%","28",".06%"
"020 
Camden County","158",".36%","92.40%","13",".43%","7.60%","171",".36%"
"021 
Candler County","99",".22%","92.52%","8",".26%","7.48%","107",".23%"
"022 
Carroll County","510","1.16%","92.56%","41","1.36%","7.44%","551","1.17%"
"023 
Catoosa County","302",".69%","90.42%","32","1.06%","9.58%","334",".71%"
"024 
Charlton County","55",".12%","88.71%","7",".23%","11.29%","62",".13%"
"025 
Chatham County","1,638","3.72%","96.58%","58","1.92%","3.42%","1,696","3.61%"
"026 
Chattahoochee County","15",".03%","100.00%","","","","15",".03%"
"027 
Chattooga County","194",".44%","91.51%","18",".60%","8.49%","212",".45%"
"028 
Cherokee County","499","1.13%","91.90%","44","1.46%","8.10%","543","1.15%"
"029 
Clarke County","472","1.07%","92.91%","36","1.19%","7.09%","508","1.08%"
"030 
Clay County","20",".05%","83.33%","4",".13%","16.67%","24",".05%"
"031 
Clayton County","1,231","2.80%","93.05%","92","3.04%","6.95%","1,323","2.81%"
"032 
Clinch County","36",".08%","92.31%","3",".10%","7.69%","39",".08%"
"033 
Cobb County","2,151","4.89%","93.00%","162","5.36%","7.00%","2,313","4.92%"
"034 
Coffee County","225",".51%","94.14%","14",".46%","5.86%","239",".51%"
