"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","101",".20%","91.82%","9",".24%","8.18%","110",".21%"
"Atkinson","48",".10%","97.96%","1",".03%","2.04%","49",".09%"
"Bacon","60",".12%","96.77%","2",".05%","3.23%","62",".12%"
"Baker","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","338",".68%","94.68%","19",".51%","5.32%","357",".67%"
"Banks","59",".12%","89.39%","7",".19%","10.61%","66",".12%"
"Barrow","248",".50%","92.19%","21",".56%","7.81%","269",".50%"
"Bartow","609","1.23%","89.56%","71","1.89%","10.44%","680","1.28%"
"Ben Hill","266",".54%","93.66%","18",".48%","6.34%","284",".53%"
"0
Berrien","88",".18%","96.70%","3",".08%","3.30%","91",".17%"
"11
Bibb","1,069","2.16%","94.69%","60","1.60%","5.31%","1,129","2.12%"
"12
Bleckley","76",".15%","85.39%","13",".35%","14.61%","89",".17%"
"13
Brantley","58",".12%","90.63%","6",".16%","9.38%","64",".12%"
"14
Brooks","57",".12%","93.44%","4",".11%","6.56%","61",".11%"
"15
Bryan","98",".20%","93.33%","7",".19%","6.67%","105",".20%"
"16
Bulloch","462",".93%","91.49%","43","1.14%","8.51%","505",".95%"
"17
Burke","216",".44%","94.74%","12",".32%","5.26%","228",".43%"
"18
Butts","151",".30%","93.21%","11",".29%","6.79%","162",".30%"
"19
Calhoun","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"20
Camden","145",".29%","93.55%","10",".27%","6.45%","155",".29%"
"21
Candler","89",".18%","87.25%","13",".35%","12.75%","102",".19%"
"22
Carroll","548","1.11%","90.58%","57","1.52%","9.42%","605","1.13%"
"23
Catoosa","311",".63%","91.47%","29",".77%","8.53%","340",".64%"
"24
Charlton","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"25
Chatham","2,458","4.96%","95.20%","124","3.30%","4.80%","2,582","4.84%"
"26
Chattahoochee","32",".06%","94.12%","2",".05%","5.88%","34",".06%"
"27
Chattooga","232",".47%","91.34%","22",".59%","8.66%","254",".48%"
"28
Cherokee","596","1.20%","90.30%","64","1.70%","9.70%","660","1.24%"
"29
Clarke","388",".78%","94.40%","23",".61%","5.60%","411",".77%"
"30
Clay","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"31
Clayton","1,421","2.87%","91.62%","130","3.46%","8.38%","1,551","2.91%"
"32
Clinch","58",".12%","93.55%","4",".11%","6.45%","62",".12%"
"33
Cobb","2,882","5.82%","90.89%","289","7.69%","9.11%","3,171","5.95%"
"34
Coffee","241",".49%","92.34%","20",".53%","7.66%","261",".49%"
"35
Colquitt","305",".62%","95.31%","15",".40%","4.69%","320",".60%"
"36
Columbia","281",".57%","93.98%","18",".48%","6.02%","299",".56%"
"37
Cook","141",".28%","94.00%","9",".24%","6.00%","150",".28%"
"38
Coweta","485",".98%","92.03%","42","1.12%","7.97%","527",".99%"
