"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","197",".44%","94.26%","12",".38%","5.74%","209",".44%"
"Appling County","110",".25%","98.21%","2",".06%","1.79%","112",".24%"
"Atkinson County","40",".09%","93.02%","3",".09%","6.98%","43",".09%"
"Bacon County","69",".16%","92.00%","6",".19%","8.00%","75",".16%"
"Baker County","12",".03%","85.71%","2",".06%","14.29%","14",".03%"
"Baldwin County","278",".63%","91.45%","26",".81%","8.55%","304",".64%"
"Banks County","53",".12%","85.48%","9",".28%","14.52%","62",".13%"
"Barrow County","347",".78%","91.56%","32","1.00%","8.44%","379",".80%"
"Bartow County","618","1.39%","89.18%","75","2.35%","10.82%","693","1.45%"
"Ben Hill County","242",".54%","93.08%","18",".56%","6.92%","260",".55%"
"Berrien County","93",".21%","94.90%","5",".16%","5.10%","98",".21%"
"Bibb County","948","2.13%","95.37%","46","1.44%","4.63%","994","2.09%"
"Bleckley County","63",".14%","92.65%","5",".16%","7.35%","68",".14%"
"Brantley County","84",".19%","89.36%","10",".31%","10.64%","94",".20%"
"Brooks County","43",".10%","97.73%","1",".03%","2.27%","44",".09%"
"Bryan County","45",".10%","93.75%","3",".09%","6.25%","48",".10%"
"Bulloch County","449","1.01%","93.35%","32","1.00%","6.65%","481","1.01%"
"Burke County","193",".43%","96.02%","8",".25%","3.98%","201",".42%"
"Butts County","135",".30%","92.47%","11",".34%","7.53%","146",".31%"
"Calhoun County","29",".07%","93.55%","2",".06%","6.45%","31",".07%"
"Camden County","178",".40%","95.19%","9",".28%","4.81%","187",".39%"
"Candler County","89",".20%","94.68%","5",".16%","5.32%","94",".20%"
"Carroll County","578","1.30%","93.53%","40","1.25%","6.47%","618","1.30%"
"Catoosa County","353",".79%","93.39%","25",".78%","6.61%","378",".79%"
"Charlton County","62",".14%","86.11%","10",".31%","13.89%","72",".15%"
"Chatham County","1,518","3.41%","96.32%","58","1.81%","3.68%","1,576","3.31%"
"Chattahoochee County","15",".03%","100.00%","","","","15",".03%"
"Chattooga County","169",".38%","89.89%","19",".59%","10.11%","188",".39%"
"Cherokee County","512","1.15%","92.42%","42","1.31%","7.58%","554","1.16%"
"Clarke County","459","1.03%","94.64%","26",".81%","5.36%","485","1.02%"
"Clay County","14",".03%","82.35%","3",".09%","17.65%","17",".04%"
"Clayton County","1,096","2.47%","93.68%","74","2.31%","6.32%","1,170","2.46%"
