"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","2","0.01%","100.00%","","","","2","0.01%"
"15","2","0.01%","66.67%","1","0.05%","33.33%","3","0.02%"
"16","17","0.11%","89.47%","2","0.10%","10.53%","19","0.11%"
"17","109","0.73%","98.20%","2","0.10%","1.80%","111","0.66%"
"18","214","1.43%","96.40%","8","0.41%","3.60%","222","1.31%"
"19","383","2.55%","96.72%","13","0.67%","3.28%","396","2.34%"
"20","451","3.01%","92.80%","35","1.81%","7.20%","486","2.87%"
"21","540","3.60%","93.10%","40","2.07%","6.90%","580","3.42%"
"22","531","3.54%","90.31%","57","2.95%","9.69%","588","3.47%"
"23","586","3.91%","91.56%","54","2.79%","8.44%","640","3.78%"
"24","583","3.89%","88.07%","79","4.08%","11.93%","662","3.91%"
"25","563","3.75%","89.37%","67","3.46%","10.63%","630","3.72%"
"26","593","3.95%","89.85%","67","3.46%","10.15%","660","3.90%"
"27","566","3.77%","86.81%","86","4.44%","13.19%","652","3.85%"
"28","576","3.84%","88.34%","76","3.93%","11.66%","652","3.85%"
"29","552","3.68%","86.79%","84","4.34%","13.21%","636","3.75%"
"30","539","3.59%","89.09%","66","3.41%","10.91%","605","3.57%"
"31","486","3.24%","87.73%","68","3.51%","12.27%","554","3.27%"
"32","491","3.27%","86.44%","77","3.98%","13.56%","568","3.35%"
"33","509","3.39%","85.26%","88","4.55%","14.74%","597","3.52%"
"34","487","3.25%","89.03%","60","3.10%","10.97%","547","3.23%"
"35","444","2.96%","84.89%","79","4.08%","15.11%","523","3.09%"
"36","445","2.97%","87.77%","62","3.20%","12.23%","507","2.99%"
"37","382","2.55%","84.14%","72","3.72%","15.86%","454","2.68%"
"38","370","2.47%","88.73%","47","2.43%","11.27%","417","2.46%"
"39","294","1.96%","85.96%","48","2.48%","14.04%","342","2.02%"
"40","319","2.13%","86.92%","48","2.48%","13.08%","367","2.17%"
"41","272","1.81%","87.46%","39","2.02%","12.54%","311","1.84%"
"42","262","1.75%","85.90%","43","2.22%","14.10%","305","1.80%"
"43","310","2.07%","86.59%","48","2.48%","13.41%","358","2.11%"
"44","299","1.99%","85.92%","49","2.53%","14.08%","348","2.05%"
"45","268","1.79%","85.62%","45","2.33%","14.38%","313","1.85%"
"46","220","1.47%","83.97%","42","2.17%","16.03%","262","1.55%"
"47","228","1.52%","87.69%","32","1.65%","12.31%","260","1.53%"
"48","249","1.66%","87.99%","34","1.76%","12.01%","283","1.67%"
"49","236","1.57%","88.72%","30","1.55%","11.28%","266","1.57%"
"50","202","1.35%","90.18%","22","1.14%","9.82%","224","1.32%"
"51","205","1.37%","91.11%","20","1.03%","8.89%","225","1.33%"
"52","170","1.13%","84.58%","31","1.60%","15.42%","201","1.19%"
"53","152","1.01%","85.88%","25","1.29%","14.12%","177","1.04%"
