"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"17","3","0.02%","75.00%","1","0.06%","25.00%","4","0.03%"
"18","164","1.28%","95.91%","7","0.41%","4.09%","171","1.18%"
"19","213","1.66%","93.83%","14","0.81%","6.17%","227","1.56%"
"20","274","2.14%","93.20%","20","1.16%","6.80%","294","2.02%"
"21","285","2.22%","92.53%","23","1.34%","7.47%","308","2.12%"
"22","333","2.60%","90.00%","37","2.15%","10.00%","370","2.54%"
"23","327","2.55%","89.84%","37","2.15%","10.16%","364","2.50%"
"24","358","2.79%","87.75%","50","2.91%","12.25%","408","2.81%"
"25","380","2.96%","91.13%","37","2.15%","8.87%","417","2.87%"
"26","378","2.95%","87.91%","52","3.03%","12.09%","430","2.96%"
"27","376","2.93%","88.68%","48","2.79%","11.32%","424","2.92%"
"28","386","3.01%","88.33%","51","2.97%","11.67%","437","3.01%"
"29","428","3.34%","90.49%","45","2.62%","9.51%","473","3.25%"
"30","395","3.08%","87.97%","54","3.14%","12.03%","449","3.09%"
"31","466","3.63%","88.43%","61","3.55%","11.57%","527","3.62%"
"32","457","3.56%","87.21%","67","3.90%","12.79%","524","3.60%"
"33","457","3.56%","86.23%","73","4.25%","13.77%","530","3.64%"
"34","471","3.67%","88.04%","64","3.72%","11.96%","535","3.68%"
"35","430","3.35%","87.04%","64","3.72%","12.96%","494","3.40%"
"36","400","3.12%","84.57%","73","4.25%","15.43%","473","3.25%"
"37","380","2.96%","83.52%","75","4.36%","16.48%","455","3.13%"
"38","364","2.84%","83.87%","70","4.07%","16.13%","434","2.98%"
"39","392","3.06%","88.29%","52","3.03%","11.71%","444","3.05%"
"40","334","2.60%","89.54%","39","2.27%","10.46%","373","2.57%"
"41","361","2.82%","87.41%","52","3.03%","12.59%","413","2.84%"
"42","305","2.38%","86.16%","49","2.85%","13.84%","354","2.43%"
"43","312","2.43%","86.91%","47","2.73%","13.09%","359","2.47%"
"44","336","2.62%","88.42%","44","2.56%","11.58%","380","2.61%"
"45","270","2.11%","84.91%","48","2.79%","15.09%","318","2.19%"
"46","217","1.69%","85.77%","36","2.09%","14.23%","253","1.74%"
"47","229","1.79%","86.09%","37","2.15%","13.91%","266","1.83%"
"48","165","1.29%","85.94%","27","1.57%","14.06%","192","1.32%"
"49","189","1.47%","90.87%","19","1.11%","9.13%","208","1.43%"
"50","160","1.25%","85.11%","28","1.63%","14.89%","188","1.29%"
"51","168","1.31%","85.71%","28","1.63%","14.29%","196","1.35%"
"52","151","1.18%","86.78%","23","1.34%","13.22%","174","1.20%"
"53","167","1.30%","89.78%","19","1.11%","10.22%","186","1.28%"
"54","135","1.05%","91.84%","12","0.70%","8.16%","147","1.01%"
"55","123","0.96%","85.42%","21","1.22%","14.58%","144","0.99%"
"56","115","0.90%","89.84%","13","0.76%","10.16%","128","0.88%"
