"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"15","3","0.02%","100.00%","","","","3","0.02%"
"16","5","0.04%","100.00%","","","","5","0.04%"
"17","47","0.39%","92.16%","4","0.25%","7.84%","51","0.38%"
"18","173","1.44%","93.51%","12","0.76%","6.49%","185","1.36%"
"19","221","1.84%","94.04%","14","0.89%","5.96%","235","1.73%"
"20","279","2.32%","93.31%","20","1.27%","6.69%","299","2.20%"
"21","307","2.56%","91.92%","27","1.72%","8.08%","334","2.46%"
"22","318","2.65%","90.86%","32","2.04%","9.14%","350","2.58%"
"23","351","2.92%","93.10%","26","1.65%","6.90%","377","2.78%"
"24","351","2.92%","91.88%","31","1.97%","8.12%","382","2.81%"
"25","355","2.96%","88.75%","45","2.86%","11.25%","400","2.94%"
"26","386","3.21%","88.33%","51","3.25%","11.67%","437","3.22%"
"27","403","3.35%","90.56%","42","2.67%","9.44%","445","3.28%"
"28","390","3.25%","88.24%","52","3.31%","11.76%","442","3.25%"
"29","429","3.57%","90.89%","43","2.74%","9.11%","472","3.47%"
"30","427","3.55%","86.26%","68","4.33%","13.74%","495","3.64%"
"31","444","3.70%","88.10%","60","3.82%","11.90%","504","3.71%"
"32","426","3.55%","88.20%","57","3.63%","11.80%","483","3.56%"
"33","455","3.79%","87.67%","64","4.07%","12.33%","519","3.82%"
"34","415","3.45%","86.10%","67","4.26%","13.90%","482","3.55%"
"35","379","3.16%","87.13%","56","3.56%","12.87%","435","3.20%"
"36","380","3.16%","86.96%","57","3.63%","13.04%","437","3.22%"
"37","406","3.38%","84.41%","75","4.77%","15.59%","481","3.54%"
"38","305","2.54%","85.92%","50","3.18%","14.08%","355","2.61%"
"39","342","2.85%","89.53%","40","2.55%","10.47%","382","2.81%"
"40","325","2.71%","85.75%","54","3.44%","14.25%","379","2.79%"
"41","317","2.64%","83.20%","64","4.07%","16.80%","381","2.80%"
"42","276","2.30%","87.90%","38","2.42%","12.10%","314","2.31%"
"43","246","2.05%","87.54%","35","2.23%","12.46%","281","2.07%"
"44","256","2.13%","85.62%","43","2.74%","14.38%","299","2.20%"
"45","228","1.90%","83.21%","46","2.93%","16.79%","274","2.02%"
"46","220","1.83%","88.00%","30","1.91%","12.00%","250","1.84%"
"47","162","1.35%","86.17%","26","1.65%","13.83%","188","1.38%"
"48","165","1.37%","85.94%","27","1.72%","14.06%","192","1.41%"
"49","167","1.39%","86.98%","25","1.59%","13.02%","192","1.41%"
"50","151","1.26%","86.29%","24","1.53%","13.71%","175","1.29%"
"51","143","1.19%","90.51%","15","0.95%","9.49%","158","1.16%"
"52","146","1.22%","85.88%","24","1.53%","14.12%","170","1.25%"
"53","136","1.13%","90.67%","14","0.89%","9.33%","150","1.10%"
"54","132","1.10%","91.67%","12","0.76%","8.33%","144","1.06%"
"55","103","0.86%","88.79%","13","0.83%","11.21%","116","0.85%"
"56","104","0.87%","85.95%","17","1.08%","14.05%","121","0.89%"
"57","103","0.86%","88.79%","13","0.83%","11.21%","116","0.85%"
"58","107","0.89%","91.45%","10","0.64%","8.55%","117","0.86%"
"59","82","0.68%","90.11%","9","0.57%","9.89%","91","0.67%"
"60","90","0.75%","90.00%","10","0.64%","10.00%","100","0.74%"
"61","71","0.59%","92.21%","6","0.38%","7.79%","77","0.57%"
"62","58","0.48%","89.23%","7","0.45%","10.77%","65","0.48%"
"63","49","0.41%","92.45%","4","0.25%","7.55%","53","0.39%"
"64","28","0.23%","87.50%","4","0.25%","12.50%","32","0.24%"
"65","24","0.20%","92.31%","2","0.13%","7.69%","26","0.19%"
"66","24","0.20%","88.89%","3","0.19%","11.11%","27","0.20%"
"67","19","0.16%","95.00%","1","0.06%","5.00%","20","0.15%"
"68","20","0.17%","95.24%","1","0.06%","4.76%","21","0.15%"
"69","12","0.10%","100.00%","","","","12","0.09%"
"70","11","0.09%","91.67%","1","0.06%","8.33%","12","0.09%"
"71","5","0.04%","100.00%","","","","5","0.04%"
"72","4","0.03%","100.00%","","","","4","0.03%"
"73","7","0.06%","100.00%","","","","7","0.05%"
"74","4","0.03%","100.00%","","","","4","0.03%"
"75","3","0.02%","100.00%","","","","3","0.02%"
"76","5","0.04%","100.00%","","","","5","0.04%"
"77","1","0.01%","100.00%","","","","1","0.01%"
"78","1","0.01%","100.00%","","","","1","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"80","2","0.02%","100.00%","","","","2","0.01%"
"81","5","0.04%","100.00%","","","","5","0.04%"
"87","1","0.01%","100.00%","","","","1","0.01%"
"90","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","12,012","100%","88.43%","1,571","100%","11.57%","13,583","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,012","","","1,571","","","13,583",""
