"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"000
Unknown","511","2.65%","83.63%","100","4.81%","16.37%","611","2.86%"
"001
Appling County","39",".20%","84.78%","7",".34%","15.22%","46",".22%"
"002
Atkinson County","10",".05%","100.00%","","","","10",".05%"
"003
Bacon County","11",".06%","100.00%","","","","11",".05%"
"004
Baker County","5",".03%","100.00%","","","","5",".02%"
"005
Baldwin County","110",".57%","88.71%","14",".67%","11.29%","124",".58%"
"006
Banks County","13",".07%","92.86%","1",".05%","7.14%","14",".07%"
"007
Barrow County","111",".57%","94.07%","7",".34%","5.93%","118",".55%"
"008
Bartow County","252","1.30%","87.50%","36","1.73%","12.50%","288","1.35%"
"009
Ben Hill County","97",".50%","90.65%","10",".48%","9.35%","107",".50%"
"010
Berrien County","30",".16%","93.75%","2",".10%","6.25%","32",".15%"
"011
Bibb County","278","1.44%","93.92%","18",".87%","6.08%","296","1.38%"
"012
Bleckley County","38",".20%","95.00%","2",".10%","5.00%","40",".19%"
"013
Brantley County","22",".11%","100.00%","","","","22",".10%"
"014
Brooks County","24",".12%","100.00%","","","","24",".11%"
"015
Bryan County","35",".18%","94.59%","2",".10%","5.41%","37",".17%"
"016
Bulloch County","151",".78%","91.52%","14",".67%","8.48%","165",".77%"
"017
Burke County","72",".37%","94.74%","4",".19%","5.26%","76",".36%"
"018
Butts County","57",".30%","90.48%","6",".29%","9.52%","63",".29%"
"019
Calhoun County","12",".06%","92.31%","1",".05%","7.69%","13",".06%"
"020
Camden County","33",".17%","91.67%","3",".14%","8.33%","36",".17%"
"021
Candler County","22",".11%","75.86%","7",".34%","24.14%","29",".14%"
"022
Carroll County","221","1.14%","86.67%","34","1.64%","13.33%","255","1.19%"
"023
Catoosa County","98",".51%","88.29%","13",".63%","11.71%","111",".52%"
"024
Charlton County","26",".13%","92.86%","2",".10%","7.14%","28",".13%"
"025
Chatham County","997","5.16%","92.74%","78","3.75%","7.26%","1,075","5.03%"
"026
Chattahoochee County","6",".03%","75.00%","2",".10%","25.00%","8",".04%"
"027
Chattooga County","74",".38%","84.09%","14",".67%","15.91%","88",".41%"
"028
Cherokee County","289","1.50%","90.03%","32","1.54%","9.97%","321","1.50%"
"029
Clarke County","157",".81%","89.20%","19",".91%","10.80%","176",".82%"
"030
Clay County","7",".04%","100.00%","","","","7",".03%"
"031
Clayton County","770","3.99%","90.69%","79","3.80%","9.31%","849","3.97%"
"032
Clinch County","28",".14%","93.33%","2",".10%","6.67%","30",".14%"
"033
Cobb County","1,421","7.36%","86.86%","215","10.34%","13.14%","1,636","7.65%"
"034
Coffee County","72",".37%","93.51%","5",".24%","6.49%","77",".36%"
"035
Colquitt County","86",".45%","91.49%","8",".38%","8.51%","94",".44%"
"036
Columbia County","95",".49%","95.00%","5",".24%","5.00%","100",".47%"
"037
Cook County","50",".26%","94.34%","3",".14%","5.66%","53",".25%"
