"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"000
Unknown","58",".36%","93.55%","4",".19%","6.45%","62",".34%"
"001
Appling County","38",".24%","95.00%","2",".09%","5.00%","40",".22%"
"002
Atkinson County","13",".08%","92.86%","1",".05%","7.14%","14",".08%"
"003
Bacon County","21",".13%","84.00%","4",".19%","16.00%","25",".14%"
"004
Baker County","3",".02%","100.00%","","","","3",".02%"
"005
Baldwin County","81",".51%","90.00%","9",".43%","10.00%","90",".50%"
"006
Banks County","9",".06%","75.00%","3",".14%","25.00%","12",".07%"
"007
Barrow County","109",".68%","84.50%","20",".95%","15.50%","129",".71%"
"008
Bartow County","252","1.58%","81.29%","58","2.75%","18.71%","310","1.71%"
"009
Ben Hill County","79",".49%","86.81%","12",".57%","13.19%","91",".50%"
"010
Berrien County","28",".18%","96.55%","1",".05%","3.45%","29",".16%"
"011
Bibb County","332","2.08%","91.97%","29","1.38%","8.03%","361","1.99%"
"012
Bleckley County","24",".15%","96.00%","1",".05%","4.00%","25",".14%"
"013
Brantley County","20",".13%","83.33%","4",".19%","16.67%","24",".13%"
"014
Brooks County","12",".08%","80.00%","3",".14%","20.00%","15",".08%"
"015
Bryan County","29",".18%","96.67%","1",".05%","3.33%","30",".17%"
"016
Bulloch County","164","1.03%","90.61%","17",".81%","9.39%","181","1.00%"
"017
Burke County","59",".37%","95.16%","3",".14%","4.84%","62",".34%"
"018
Butts County","29",".18%","93.55%","2",".09%","6.45%","31",".17%"
"019
Calhoun County","4",".03%","100.00%","","","","4",".02%"
"020
Camden County","44",".28%","89.80%","5",".24%","10.20%","49",".27%"
"021
Candler County","19",".12%","95.00%","1",".05%","5.00%","20",".11%"
"022
Carroll County","221","1.38%","90.57%","23","1.09%","9.43%","244","1.35%"
"023
Catoosa County","122",".76%","81.88%","27","1.28%","18.12%","149",".82%"
"024
Charlton County","30",".19%","93.75%","2",".09%","6.25%","32",".18%"
"025
Chatham County","557","3.48%","91.91%","49","2.33%","8.09%","606","3.35%"
"026
Chattahoochee County","13",".08%","86.67%","2",".09%","13.33%","15",".08%"
"027
Chattooga County","85",".53%","78.70%","23","1.09%","21.30%","108",".60%"
"028
Cherokee County","226","1.41%","82.78%","47","2.23%","17.22%","273","1.51%"
"029
Clarke County","210","1.31%","92.92%","16",".76%","7.08%","226","1.25%"
"030
Clay County","4",".03%","80.00%","1",".05%","20.00%","5",".03%"
"031
Clayton County","454","2.84%","90.44%","48","2.28%","9.56%","502","2.77%"
"032
Clinch County","13",".08%","100.00%","","","","13",".07%"
"033
Cobb County","1,069","6.69%","84.31%","199","9.44%","15.69%","1,268","7.01%"
"034
Coffee County","66",".41%","82.50%","14",".66%","17.50%","80",".44%"
"035
Colquitt County","47",".29%","87.04%","7",".33%","12.96%","54",".30%"
"036
Columbia County","132",".83%","86.84%","20",".95%","13.16%","152",".84%"
"037
Cook County","39",".24%","95.12%","2",".09%","4.88%","41",".23%"
