"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"000
Unknown","273","1.50%","93.49%","19",".86%","6.51%","292","1.43%"
"001
Appling County","21",".12%","70.00%","9",".41%","30.00%","30",".15%"
"002
Atkinson County","17",".09%","94.44%","1",".05%","5.56%","18",".09%"
"003
Bacon County","32",".18%","91.43%","3",".14%","8.57%","35",".17%"
"004
Baker County","2",".01%","66.67%","1",".05%","33.33%","3",".01%"
"005
Baldwin County","103",".57%","91.96%","9",".41%","8.04%","112",".55%"
"006
Banks County","16",".09%","84.21%","3",".14%","15.79%","19",".09%"
"007
Barrow County","122",".67%","85.92%","20",".90%","14.08%","142",".70%"
"008
Bartow County","248","1.37%","81.31%","57","2.58%","18.69%","305","1.50%"
"009
Ben Hill County","94",".52%","94.00%","6",".27%","6.00%","100",".49%"
"010
Berrien County","22",".12%","88.00%","3",".14%","12.00%","25",".12%"
"011
Bibb County","250","1.38%","93.28%","18",".81%","6.72%","268","1.32%"
"012
Bleckley County","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"013
Brantley County","35",".19%","94.59%","2",".09%","5.41%","37",".18%"
"014
Brooks County","26",".14%","89.66%","3",".14%","10.34%","29",".14%"
"015
Bryan County","33",".18%","94.29%","2",".09%","5.71%","35",".17%"
"016
Bulloch County","146",".80%","91.25%","14",".63%","8.75%","160",".79%"
"017
Burke County","64",".35%","94.12%","4",".18%","5.88%","68",".33%"
"018
Butts County","46",".25%","83.64%","9",".41%","16.36%","55",".27%"
"019
Calhoun County","6",".03%","75.00%","2",".09%","25.00%","8",".04%"
"020
Camden County","61",".34%","95.31%","3",".14%","4.69%","64",".31%"
"021
Candler County","23",".13%","85.19%","4",".18%","14.81%","27",".13%"
"022
Carroll County","163",".90%","90.56%","17",".77%","9.44%","180",".88%"
"023
Catoosa County","112",".62%","84.85%","20",".90%","15.15%","132",".65%"
"024
Charlton County","26",".14%","96.30%","1",".05%","3.70%","27",".13%"
"025
Chatham County","716","3.94%","92.63%","57","2.58%","7.37%","773","3.79%"
"026
Chattahoochee County","12",".07%","92.31%","1",".05%","7.69%","13",".06%"
"027
Chattooga County","75",".41%","79.79%","19",".86%","20.21%","94",".46%"
"028
Cherokee County","199","1.10%","87.67%","28","1.27%","12.33%","227","1.11%"
"029
Clarke County","155",".85%","94.51%","9",".41%","5.49%","164",".80%"
"030
Clay County","11",".06%","100.00%","","","","11",".05%"
"031
Clayton County","635","3.50%","88.81%","80","3.62%","11.19%","715","3.51%"
"032
Clinch County","14",".08%","93.33%","1",".05%","6.67%","15",".07%"
"033
Cobb County","1,368","7.53%","87.19%","201","9.10%","12.81%","1,569","7.70%"
"034
Coffee County","89",".49%","94.68%","5",".23%","5.32%","94",".46%"
"035
Colquitt County","43",".24%","89.58%","5",".23%","10.42%","48",".24%"
"036
Columbia County","152",".84%","87.86%","21",".95%","12.14%","173",".85%"
"037
Cook County","32",".18%","96.97%","1",".05%","3.03%","33",".16%"
