"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"000 
Unknown","27",".22%","84.38%","5",".32%","15.63%","32",".24%"
"001 
Appling County","27",".22%","93.10%","2",".13%","6.90%","29",".21%"
"002 
Atkinson County","14",".12%","93.33%","1",".06%","6.67%","15",".11%"
"003 
Bacon County","22",".18%","91.67%","2",".13%","8.33%","24",".18%"
"004 
Baker County","3",".02%","60.00%","2",".13%","40.00%","5",".04%"
"005 
Baldwin County","90",".75%","91.84%","8",".51%","8.16%","98",".72%"
"006 
Banks County","9",".07%","69.23%","4",".25%","30.77%","13",".10%"
"007 
Barrow County","102",".85%","83.61%","20","1.27%","16.39%","122",".90%"
"008 
Bartow County","164","1.37%","81.59%","37","2.36%","18.41%","201","1.48%"
"009 
Ben Hill County","63",".52%","88.73%","8",".51%","11.27%","71",".52%"
"010 
Berrien County","32",".27%","91.43%","3",".19%","8.57%","35",".26%"
"011 
Bibb County","186","1.55%","93.94%","12",".76%","6.06%","198","1.46%"
"012 
Bleckley County","21",".17%","91.30%","2",".13%","8.70%","23",".17%"
"013 
Brantley County","39",".32%","90.70%","4",".25%","9.30%","43",".32%"
"014 
Brooks County","15",".12%","100.00%","","","","15",".11%"
"015 
Bryan County","27",".22%","90.00%","3",".19%","10.00%","30",".22%"
"016 
Bulloch County","135","1.12%","90.00%","15",".95%","10.00%","150","1.10%"
"017 
Burke County","58",".48%","92.06%","5",".32%","7.94%","63",".46%"
"018 
Butts County","44",".37%","89.80%","5",".32%","10.20%","49",".36%"
"019 
Calhoun County","8",".07%","72.73%","3",".19%","27.27%","11",".08%"
"020 
Camden County","44",".37%","97.78%","1",".06%","2.22%","45",".33%"
"021 
Candler County","14",".12%","73.68%","5",".32%","26.32%","19",".14%"
"022 
Carroll County","188","1.57%","89.95%","21","1.34%","10.05%","209","1.54%"
"023 
Catoosa County","111",".92%","79.29%","29","1.85%","20.71%","140","1.03%"
"024 
Charlton County","29",".24%","85.29%","5",".32%","14.71%","34",".25%"
"025 
Chatham County","323","2.69%","93.90%","21","1.34%","6.10%","344","2.53%"
"026 
Chattahoochee County","4",".03%","80.00%","1",".06%","20.00%","5",".04%"
"027 
Chattooga County","44",".37%","93.62%","3",".19%","6.38%","47",".35%"
"028 
Cherokee County","139","1.16%","83.23%","28","1.78%","16.77%","167","1.23%"
"029 
Clarke County","163","1.36%","92.61%","13",".83%","7.39%","176","1.30%"
"030 
Clay County","5",".04%","71.43%","2",".13%","28.57%","7",".05%"
"031 
Clayton County","227","1.89%","86.31%","36","2.29%","13.69%","263","1.94%"
"032 
Clinch County","9",".07%","90.00%","1",".06%","10.00%","10",".07%"
"033 
Cobb County","619","5.15%","88.68%","79","5.03%","11.32%","698","5.14%"
"034 
Coffee County","92",".77%","88.46%","12",".76%","11.54%","104",".77%"
"035 
Colquitt County","60",".50%","85.71%","10",".64%","14.29%","70",".52%"
"036 
Columbia County","131","1.09%","84.52%","24","1.53%","15.48%","155","1.14%"
"037 
Cook County","29",".24%","85.29%","5",".32%","14.71%","34",".25%"
