"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","26",".15%","92.86%","2",".09%","7.14%","28",".14%"
"Atkinson","8",".04%","72.73%","3",".14%","27.27%","11",".05%"
"Bacon","9",".05%","100.00%","","","","9",".04%"
"Baker","2",".01%","100.00%","","","","2",".01%"
"Baldwin
1 2 3 4 5 6 7 8 9","89",".50%","85.58%","15",".69%","14.42%","104",".52%"
"Banks","14",".08%","87.50%","2",".09%","12.50%","16",".08%"
"Barrow","115",".64%","90.55%","12",".55%","9.45%","127",".63%"
"Bartow","187","1.05%","85.39%","32","1.48%","14.61%","219","1.09%"
"Ben Hill","62",".35%","87.32%","9",".42%","12.68%","71",".35%"
"10
Berrien","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"11
Bibb","228","1.27%","88.37%","30","1.39%","11.63%","258","1.29%"
"12
Bleckley","44",".25%","95.65%","2",".09%","4.35%","46",".23%"
"13
Brantley","16",".09%","100.00%","","","","16",".08%"
"14
Brooks","12",".07%","100.00%","","","","12",".06%"
"15
Bryan","35",".20%","94.59%","2",".09%","5.41%","37",".18%"
"16
Bulloch","157",".88%","90.75%","16",".74%","9.25%","173",".86%"
"17
Burke","58",".32%","96.67%","2",".09%","3.33%","60",".30%"
"18
Butts","58",".32%","98.31%","1",".05%","1.69%","59",".29%"
"19
Calhoun","13",".07%","92.86%","1",".05%","7.14%","14",".07%"
"20
Camden","45",".25%","93.75%","3",".14%","6.25%","48",".24%"
"21
Candler","19",".11%","86.36%","3",".14%","13.64%","22",".11%"
"22
Carroll","224","1.25%","88.54%","29","1.34%","11.46%","253","1.26%"
"23
Catoosa","85",".48%","89.47%","10",".46%","10.53%","95",".47%"
"24
Charlton","20",".11%","90.91%","2",".09%","9.09%","22",".11%"
"25
Chatham","973","5.44%","92.58%","78","3.61%","7.42%","1,051","5.24%"
"26
Chattahoochee","8",".04%","88.89%","1",".05%","11.11%","9",".04%"
"27
Chattooga","75",".42%","87.21%","11",".51%","12.79%","86",".43%"
"28
Cherokee","300","1.68%","88.76%","38","1.76%","11.24%","338","1.69%"
"29
Clarke","176",".98%","93.62%","12",".55%","6.38%","188",".94%"
"30
Clay","14",".08%","93.33%","1",".05%","6.67%","15",".07%"
"31
Clayton","742","4.15%","87.91%","102","4.72%","12.09%","844","4.21%"
"32
Clinch","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"33
Cobb","1,426","7.97%","85.03%","251","11.60%","14.97%","1,677","8.36%"
"34
Coffee","89",".50%","92.71%","7",".32%","7.29%","96",".48%"
"35
Colquitt","69",".39%","94.52%","4",".18%","5.48%","73",".36%"
"36
Columbia","80",".45%","89.89%","9",".42%","10.11%","89",".44%"
"37
Cook","31",".17%","93.94%","2",".09%","6.06%","33",".16%"
"38
Coweta","200","1.12%","85.84%","33","1.53%","14.16%","233","1.16%"
