"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1   White","4,644","38.32%","81.85%","1,030","64.13%","18.15%","5,674","41.34%"
"2   Black","6,922","57.12%","92.64%","550","34.25%","7.36%","7,472","54.44%"
"5   Other","10","0.08%","83.33%","2","0.12%","16.67%","12","0.09%"
"6   Asian","46","0.38%","97.87%","1","0.06%","2.13%","47","0.34%"
"9   Unknown","1","0.01%","100.0%","","","","1","0.01%"
"10   Hispanic","488","4.03%","95.69%","22","1.37%","4.31%","510","3.72%"
"12   Native American","6","0.05%","100.0%","","","","6","0.04%"
"13   Native Hawaiian","1","0.01%","50.0%","1","0.06%","50.0%","2","0.01%"
"Total Reported","12,118","100.00%","88.30%","1,606","100.00%","11.70%","13,724","100.00%"
